Precinct,County,Registered Voters,Andrea Johnson (Rep)_Election Day Votes,Andrea Johnson (Rep)_Advanced Voting Votes,Andrea Johnson (Rep)_Absentee by Mail Votes,Andrea Johnson (Rep)_Provisional Votes,Andrea Johnson (Rep)_Choice Total,Michael S. Wilensky (I) (Dem)_Election Day Votes,Michael S. Wilensky (I) (Dem)_Advanced Voting Votes,Michael S. Wilensky (I) (Dem)_Absentee by Mail Votes,Michael S. Wilensky (I) (Dem)_Provisional Votes,Michael S. Wilensky (I) (Dem)_Choice Total,Total,calc_participation
Austin,DeKalb,2538.0,230.0,596.0,319.0,0.0,1145.0,68.0,520.0,424.0,0.0,1012.0,2157.0,85.0
Chesnut Elem,DeKalb,2363.0,106.0,232.0,79.0,1.0,418.0,176.0,708.0,353.0,1.0,1238.0,1656.0,70.1
Doraville North,DeKalb,3065.0,88.0,137.0,52.0,2.0,279.0,155.0,543.0,259.0,3.0,960.0,1239.0,40.4
Dunwoody,DeKalb,3003.0,120.0,443.0,184.0,1.0,748.0,109.0,791.0,536.0,7.0,1443.0,2191.0,73.0
Dunwoody 2,DeKalb,2044.0,128.0,479.0,215.0,2.0,824.0,43.0,528.0,321.0,2.0,894.0,1718.0,84.1
Dunwoody Library,DeKalb,2570.0,104.0,766.0,271.0,1.0,1142.0,37.0,588.0,399.0,2.0,1026.0,2168.0,84.4
Georgetown Sq,DeKalb,4155.0,161.0,575.0,196.0,3.0,935.0,190.0,1114.0,573.0,4.0,1881.0,2816.0,67.8
Huntley Hills Elem,DeKalb,3508.0,96.0,195.0,78.0,2.0,371.0,183.0,703.0,332.0,1.0,1219.0,1590.0,45.3
Kingsley Elem,DeKalb,2490.0,194.0,594.0,321.0,3.0,1112.0,84.0,444.0,457.0,6.0,991.0,2103.0,84.5
Mount Vernon East,DeKalb,2651.0,197.0,681.0,257.0,1.0,1136.0,81.0,598.0,393.0,1.0,1073.0,2209.0,83.3
Mount Vernon West,DeKalb,2303.0,113.0,549.0,195.0,5.0,862.0,49.0,619.0,343.0,5.0,1016.0,1878.0,81.5
North Peachtree,DeKalb,1916.0,87.0,183.0,93.0,3.0,366.0,113.0,443.0,273.0,3.0,832.0,1198.0,62.5
Peachtree Middle,DeKalb,3502.0,120.0,363.0,178.0,2.0,663.0,186.0,1032.0,528.0,2.0,1748.0,2411.0,68.8
Tilly Mill Road,DeKalb,1552.0,125.0,354.0,149.0,1.0,629.0,53.0,350.0,238.0,0.0,641.0,1270.0,81.8
Winters Chapel,DeKalb,1434.0,121.0,296.0,137.0,1.0,555.0,59.0,307.0,261.0,1.0,628.0,1183.0,82.5
