Precinct,County,Registered Voters,John Albers (I) (Rep)_Election Day Votes,John Albers (I) (Rep)_Advanced Voting Votes,John Albers (I) (Rep)_Absentee by Mail Votes,John Albers (I) (Rep)_Provisional Votes,John Albers (I) (Rep)_Choice Total,Sarah Beeson (Dem)_Election Day Votes,Sarah Beeson (Dem)_Advanced Voting Votes,Sarah Beeson (Dem)_Absentee by Mail Votes,Sarah Beeson (Dem)_Provisional Votes,Sarah Beeson (Dem)_Choice Total,Total,calc_participation
AP01A,Fulton,5236.0,194.0,1375.0,505.0,0.0,2074.0,102.0,1138.0,685.0,4.0,1929.0,4003.0,76.5
AP01B,Fulton,1281.0,54.0,270.0,104.0,5.0,433.0,41.0,260.0,141.0,5.0,447.0,880.0,68.7
AP01C,Fulton,2409.0,88.0,715.0,194.0,8.0,1005.0,52.0,497.0,297.0,4.0,850.0,1855.0,77.0
AP01D,Fulton,1015.0,32.0,198.0,83.0,0.0,313.0,36.0,200.0,122.0,0.0,358.0,671.0,66.1
AP021,Fulton,3408.0,169.0,942.0,257.0,1.0,1369.0,102.0,746.0,316.0,3.0,1167.0,2536.0,74.4
AP022,Fulton,2507.0,90.0,515.0,210.0,0.0,815.0,91.0,480.0,347.0,0.0,918.0,1733.0,69.1
AP02B,Fulton,677.0,26.0,92.0,91.0,5.0,214.0,7.0,121.0,113.0,3.0,244.0,458.0,67.7
AP03,Fulton,775.0,27.0,57.0,14.0,2.0,100.0,73.0,181.0,59.0,4.0,317.0,417.0,53.8
AP04A,Fulton,1760.0,93.0,517.0,237.0,5.0,852.0,33.0,326.0,198.0,0.0,557.0,1409.0,80.1
AP04B,Fulton,473.0,40.0,160.0,25.0,2.0,227.0,6.0,102.0,56.0,4.0,168.0,395.0,83.5
AP14,Fulton,3232.0,108.0,872.0,297.0,4.0,1281.0,63.0,718.0,478.0,4.0,1263.0,2544.0,78.7
JC13A,Fulton,2317.0,97.0,821.0,244.0,0.0,1162.0,36.0,373.0,239.0,1.0,649.0,1811.0,78.2
JC14,Fulton,2608.0,85.0,843.0,250.0,1.0,1179.0,50.0,550.0,281.0,2.0,883.0,2062.0,79.1
JC15,Fulton,959.0,34.0,189.0,51.0,0.0,274.0,34.0,258.0,112.0,0.0,404.0,678.0,70.7
JC16,Fulton,2707.0,135.0,728.0,190.0,1.0,1054.0,61.0,600.0,350.0,0.0,1011.0,2065.0,76.3
JC18,Fulton,2857.0,101.0,903.0,267.0,2.0,1273.0,51.0,619.0,346.0,1.0,1017.0,2290.0,80.2
JC19,Fulton,4174.0,139.0,1046.0,304.0,3.0,1492.0,83.0,960.0,585.0,9.0,1637.0,3129.0,75.0
ML01A,Fulton,2795.0,155.0,986.0,236.0,23.0,1400.0,54.0,572.0,259.0,8.0,893.0,2293.0,82.0
ML01B,Fulton,708.0,42.0,246.0,82.0,0.0,370.0,8.0,112.0,59.0,0.0,179.0,549.0,77.5
MP01,Fulton,472.0,132.0,36.0,23.0,5.0,196.0,81.0,34.0,55.0,1.0,171.0,367.0,77.8
RW01,Fulton,5010.0,209.0,1563.0,750.0,10.0,2532.0,73.0,871.0,683.0,3.0,1630.0,4162.0,83.1
RW02,Fulton,4061.0,254.0,1103.0,430.0,8.0,1795.0,91.0,790.0,572.0,6.0,1459.0,3254.0,80.1
RW03,Fulton,5041.0,261.0,935.0,333.0,5.0,1534.0,184.0,1002.0,619.0,7.0,1812.0,3346.0,66.4
RW04,Fulton,1861.0,74.0,487.0,176.0,0.0,737.0,27.0,470.0,296.0,1.0,794.0,1531.0,82.3
RW05,Fulton,2910.0,120.0,392.0,153.0,4.0,669.0,174.0,620.0,330.0,10.0,1134.0,1803.0,62.0
RW06,Fulton,3071.0,164.0,695.0,203.0,0.0,1062.0,80.0,739.0,376.0,8.0,1203.0,2265.0,73.8
RW07A,Fulton,1773.0,48.0,87.0,23.0,0.0,158.0,188.0,402.0,150.0,2.0,742.0,900.0,50.8
RW07B,Fulton,449.0,17.0,31.0,13.0,5.0,66.0,49.0,82.0,58.0,14.0,203.0,269.0,59.9
RW08,Fulton,2429.0,157.0,625.0,392.0,5.0,1179.0,50.0,307.0,263.0,4.0,624.0,1803.0,74.2
RW09,Fulton,4450.0,300.0,1465.0,751.0,2.0,2518.0,62.0,666.0,623.0,1.0,1352.0,3870.0,87.0
RW09A,Fulton,1892.0,133.0,666.0,79.0,6.0,884.0,34.0,309.0,65.0,2.0,410.0,1294.0,68.4
RW10,Fulton,3653.0,201.0,1178.0,479.0,6.0,1864.0,44.0,594.0,435.0,4.0,1077.0,2941.0,80.5
RW11A,Fulton,2865.0,150.0,620.0,267.0,4.0,1041.0,98.0,521.0,376.0,5.0,1000.0,2041.0,71.2
RW12,Fulton,3899.0,307.0,1192.0,597.0,3.0,2099.0,70.0,693.0,692.0,1.0,1456.0,3555.0,91.2
RW12A,Fulton,2458.0,143.0,666.0,94.0,4.0,907.0,64.0,457.0,94.0,2.0,617.0,1524.0,62.0
RW13,Fulton,3764.0,225.0,955.0,321.0,3.0,1504.0,128.0,851.0,427.0,4.0,1410.0,2914.0,77.4
RW16,Fulton,2101.0,120.0,614.0,216.0,2.0,952.0,49.0,424.0,232.0,4.0,709.0,1661.0,79.1
RW17,Fulton,3100.0,157.0,514.0,158.0,0.0,829.0,153.0,761.0,370.0,4.0,1288.0,2117.0,68.3
RW19,Fulton,2147.0,129.0,728.0,241.0,1.0,1099.0,42.0,371.0,231.0,0.0,644.0,1743.0,81.2
RW20,Fulton,2701.0,89.0,805.0,250.0,5.0,1149.0,37.0,641.0,322.0,2.0,1002.0,2151.0,79.6
RW21,Fulton,3362.0,94.0,1120.0,341.0,13.0,1568.0,67.0,608.0,339.0,6.0,1020.0,2588.0,77.0
RW22A,Fulton,4788.0,144.0,791.0,258.0,10.0,1203.0,194.0,1239.0,471.0,7.0,1911.0,3114.0,65.0
SS02A,Fulton,1206.0,37.0,235.0,104.0,0.0,376.0,28.0,300.0,190.0,5.0,523.0,899.0,74.5
SS15A,Fulton,2756.0,65.0,150.0,36.0,1.0,252.0,211.0,753.0,263.0,5.0,1232.0,1484.0,53.8
SS15B,Fulton,1730.0,97.0,205.0,69.0,0.0,371.0,115.0,442.0,176.0,2.0,735.0,1106.0,63.9
SS19A,Fulton,3299.0,72.0,359.0,108.0,6.0,545.0,136.0,932.0,365.0,9.0,1442.0,1987.0,60.2
SS19B,Fulton,2342.0,50.0,308.0,115.0,36.0,509.0,84.0,705.0,283.0,68.0,1140.0,1649.0,70.4
SS20,Fulton,2404.0,68.0,305.0,117.0,4.0,494.0,125.0,566.0,303.0,8.0,1002.0,1496.0,62.2
SS22,Fulton,2834.0,101.0,392.0,236.0,0.0,729.0,117.0,515.0,358.0,3.0,993.0,1722.0,60.8
SS26,Fulton,3824.0,49.0,265.0,92.0,5.0,411.0,220.0,1152.0,349.0,12.0,1733.0,2144.0,56.1
Little River,Cherokee,7480.0,580.0,1719.0,1058.0,0.0,3357.0,215.0,755.0,955.0,0.0,1925.0,5282.0,70.6
