index,County,Precinct,Registered Voters,Ann S. Jackson (I) (Rep)_Election Day Votes,Ann S. Jackson (I) (Rep)_Advanced Voting Votes,Ann S. Jackson (I) (Rep)_Absentee by Mail Votes,Ann S. Jackson (I) (Rep)_Provisional Votes,Ann S. Jackson (I) (Rep)_Choice Total,Total,
0,Fayette,Blackrock,2699,164,697,362,9,1232,1232,
1,Fayette,Brooks,2567,551,1039,373,0,1963,1963,
2,Fayette,Europe,3310,159,748,393,9,1309,1309,
3,Fayette,Fayetteville East,2147,147,605,281,2,1035,1035,
4,Fayette,Fayetteville West,2362,176,716,336,0,1228,1228,
5,Fayette,Flint,1732,179,467,200,0,846,846,
6,Fayette,Hopeful,2309,248,626,255,0,1129,1129,
7,Fayette,Morning Creek,3059,195,911,515,1,1622,1622,
8,Fayette,Rareover,3045,179,1503,282,2,1966,1966,
9,Fayette,Sandy Creek,4848,240,1620,463,3,2326,2326,
10,Fayette,Shakerag East,1689,227,591,187,2,1007,1007,
11,Fayette,Shakerag West,1236,63,569,184,1,817,817,
12,Fayette,Starrsmill,3572,443,1275,479,0,2197,2197,
13,Fayette,Whitewater,3564,351,1532,539,8,2430,2430,
14,Fayette,Woolsey,2542,348,1057,433,0,1838,1838,
15,Fayette,McIntosh,3323,241,1408,468,2,2119,2119,
16,Fayette,Oak Grove,1344,154,551,154,1,860,860,
17,Fayette,Kedron,4862,435,1842,599,2,2878,2878,
18,Fayette,Aberdeen,1805,161,761,212,0,1134,1134,
19,Fayette,Windgate,1011,141,417,105,2,665,665,
20,Fayette,Flat Creek,2117,228,704,275,3,1210,1210,
21,Fayette,Braelinn,1876,208,863,266,1,1338,1338,
22,Fayette,Kenwood,1014,100,222,119,0,441,441,
23,Fayette,Banks,1624,189,414,255,0,858,858,
24,Fayette,Harps Crossing,1646,181,614,254,2,1051,1051,
25,Fayette,Willow Pond,3100,286,1029,442,8,1765,1765,
26,Fayette,Dogwood,3092,285,1290,435,3,2013,2013,
27,Fayette,Oak Ridge,2225,209,609,341,3,1162,1162,
28,Fayette,Jeff Davis,2876,152,760,358,5,1275,1275,
29,Fayette,Murphy,3224,218,1099,506,4,1827,1827,
30,Fayette,Fielding Ridge,3497,325,1530,414,0,2269,2269,
31,Fayette,Willowbend,2007,175,864,235,0,1274,1274,
32,Fayette,Camp Creek,1895,182,824,243,2,1251,1251,
33,Fayette,Rising Star,3833,420,1944,479,2,2845,2845,
34,Fayette,Spring Hill,3299,187,1116,422,1,1726,1726,
35,Fayette,Antioch,1956,317,605,260,1,1183,1183,
