index,County,Precinct,Registered Voters,David Callahan (Rep)_Election Day Votes,David Callahan (Rep)_Advanced Voting Votes,David Callahan (Rep)_Absentee by Mail Votes,David Callahan (Rep)_Provisional Votes,David Callahan (Rep)_Choice Total,Debra Bazemore (I) (Dem)_Election Day Votes,Debra Bazemore (I) (Dem)_Advanced Voting Votes,Debra Bazemore (I) (Dem)_Absentee by Mail Votes,Debra Bazemore (I) (Dem)_Provisional Votes,Debra Bazemore (I) (Dem)_Choice Total,Total,
0,Fayette,Europe,3310,47,178,86,3,314,198,1219,765,13,2195,2509,
1,Fayette,Fayetteville East,2147,77,338,164,3,582,102,510,272,3,887,1469,
2,Fayette,Flint,1732,131,230,124,0,485,89,491,224,0,804,1289,
3,Fayette,Morning Creek,3059,43,164,66,0,273,81,339,217,0,637,910,
4,Fayette,Kenwood,1014,46,66,40,0,152,93,317,214,2,626,778,
5,Fayette,Banks,1624,126,263,167,0,556,105,311,227,0,643,1199,
6,Fayette,Willow Pond,3100,99,376,116,4,595,63,370,240,0,673,1268,
7,Fayette,Oak Ridge,2225,99,246,134,1,480,94,328,287,5,714,1194,
8,Fayette,Jeff Davis,2876,73,391,190,2,656,125,753,391,6,1275,1931,
9,Fayette,Spring Hill,3299,127,707,246,0,1080,94,843,482,1,1420,2500,
