index,County,Precinct,Registered Voters,Chris M. Patton (I) (Rep)_Election Day Votes,Chris M. Patton (I) (Rep)_Advanced Voting Votes,Chris M. Patton (I) (Rep)_Absentee by Mail Votes,Chris M. Patton (I) (Rep)_Provisional Votes,Chris M. Patton (I) (Rep)_Choice Total,Total,
0,Hall,Wilson,0,461,1910,1159,2,3532,3532,
1,Hall,Chicopee,0,360,1073,356,1,1790,1790,
2,Hall,Oakwood I,0,324,757,246,0,1327,1327,
3,Hall,Oakwood II,0,464,1639,545,1,2649,2649,
4,Hall,Flowery Branch I,0,488,1707,591,0,2786,2786,
5,Hall,Flowery Branch II,0,465,1255,366,4,2090,2090,
6,Hall,Roberts,0,581,2183,903,1,3668,3668,
7,Hall,Morgan I,0,514,1739,434,0,2687,2687,
8,Hall,Morgan II,0,460,1870,581,2,2913,2913,
9,Hall,Candler,0,662,2061,657,0,3380,3380,
10,Hall,Tadmore,0,662,1511,558,5,2736,2736,
11,Hall,Glade,0,413,1345,417,3,2178,2178,
12,Hall,Lula,0,590,1292,337,9,2228,2228,
13,Hall,Clermont,0,437,1755,372,1,2565,2565,
14,Hall,Quillians,0,246,1483,323,1,2053,2053,
15,Hall,Bark Camp,0,531,2549,712,3,3795,3795,
16,Hall,Chestatee,0,529,1527,529,2,2587,2587,
17,Hall,Fork,0,560,1272,460,0,2292,2292,
18,Hall,Whelchel,0,425,1883,558,0,2866,2866,
19,Hall,West Whelchel,0,375,1611,805,1,2792,2792,
20,Hall,Gainesville I,0,453,1196,610,3,2262,2262,
21,Hall,Gainesville II,0,211,394,318,1,924,924,
22,Hall,Gainesville III,0,515,1002,407,2,1926,1926,
23,Hall,Gainesville IV,0,257,790,335,0,1382,1382,
24,Hall,Gainesville V,0,184,426,161,0,771,771,
25,Hall,Gillsville,0,331,391,96,1,819,819,
26,Hall,Big Hickory,0,401,1923,490,1,2815,2815,
27,Hall,Friendship I,0,606,3814,1485,2,5907,5907,
28,Hall,Friendship II,0,444,1340,327,2,2113,2113,
29,Hall,Friendship III,0,414,2022,443,2,2881,2881,
30,Hall,Friendship IV,0,209,1818,361,4,2392,2392,
