index,County,Precinct,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
0,Liberty,Riceboro Youth Center,1083,29,99,18,0,146,88,301,194,0,583,6,12,5,0,23,752,
1,Liberty,Lyman Hall School,4542,135,342,114,1,592,250,871,567,0,1688,39,54,30,0,123,2403,
2,Liberty,Lewis Frasier School,4317,147,658,195,0,1000,180,957,582,0,1719,25,50,30,0,105,2824,
3,Liberty,Memorial Dr East,1976,45,125,47,0,217,99,402,279,1,781,19,17,11,2,49,1047,
4,Liberty,Button Gwinnett,2304,73,89,39,0,201,66,127,98,0,291,11,17,14,0,42,534,
5,Liberty,Town of Allenhurst,2398,80,221,77,0,378,145,661,330,0,1136,18,33,10,0,61,1575,
6,Liberty,Hinesville,1984,78,325,100,0,503,74,321,194,0,589,14,20,12,0,46,1138,
7,Liberty,Liberty County Complex,4379,207,947,176,0,1330,116,870,521,0,1507,24,71,18,0,113,2950,
8,Liberty,Walthourville,3016,92,257,81,0,430,137,763,340,0,1240,24,38,22,0,84,1754,
9,Liberty,Fleming West,505,25,49,19,0,93,38,122,91,0,251,2,4,0,0,6,350,
10,Liberty,Fleming East,3239,347,921,198,1,1467,76,304,202,0,582,18,36,14,0,68,2117,
11,Liberty,Gum Branch,3193,251,474,113,0,838,97,443,298,1,839,20,34,20,0,74,1751,
12,Liberty,Hinesville Lodge 271,2646,106,233,102,0,441,144,547,343,0,1034,22,28,22,0,72,1547,
