index,County,Precinct,Registered Voters,Ben Watson (I) (Rep)_Election Day Votes,Ben Watson (I) (Rep)_Advanced Voting Votes,Ben Watson (I) (Rep)_Absentee by Mail Votes,Ben Watson (I) (Rep)_Provisional Votes,Ben Watson (I) (Rep)_Choice Total,Total,
0,Liberty,Riceboro Youth Center,1083,82,238,85,0,405,405,
1,Liberty,Lyman Hall School,4542,320,806,383,1,1510,1510,
2,Liberty,Lewis Frasier School,4317,274,1187,444,0,1905,1905,
3,Liberty,Memorial Dr East,1976,121,335,171,2,629,629,
4,Liberty,Button Gwinnett,2304,127,191,96,0,414,414,
5,Liberty,Town of Allenhurst,2398,195,590,233,0,1018,1018,
6,Liberty,Hinesville,1984,132,488,182,0,802,802,
7,Liberty,Liberty County Complex,4379,300,1417,342,0,2059,2059,
8,Liberty,Walthourville,3016,18,41,14,0,73,73,
9,Liberty,Fleming West,505,48,117,47,0,212,212,
10,Liberty,Fleming East,3239,406,1117,284,1,1808,1808,
