index,County,Precinct,Registered Voters,Karen P. David (I) (Rep)_Election Day Votes,Karen P. David (I) (Rep)_Advanced Voting Votes,Karen P. David (I) (Rep)_Absentee by Mail Votes,Karen P. David (I) (Rep)_Provisional Votes,Karen P. David (I) (Rep)_Choice Total,Total,
0,Walton,Bold Springs,4653,767,1905,629,2,3303,3303,
1,Walton,Whatley,1254,251,516,153,0,920,920,
2,Walton,Walker Park,3858,579,1525,468,0,2572,2572,
3,Walton,Gratis,1243,349,458,153,0,960,960,
4,Walton,Between,4925,600,2277,587,0,3464,3464,
5,Walton,Walnut Grove,2661,524,988,251,0,1763,1763,
6,Walton,Loganville North,5225,577,1792,610,4,2983,2983,
7,Walton,Social Circle,4604,838,1479,438,3,2758,2758,
8,Walton,South Monroe,3910,328,1410,424,0,2162,2162,
9,Walton,North Monroe,4818,476,1144,452,3,2075,2075,
10,Walton,Loganville South,3768,430,1281,493,0,2204,2204,
11,Walton,West Walton,4219,613,1767,535,0,2915,2915,
12,Walton,Broken Arrow,4380,622,1802,479,0,2903,2903,
13,Walton,Bay Creek,3401,383,1513,398,1,2295,2295,
14,Walton,E Monroe,4119,474,1052,331,2,1859,1859,
15,Walton,W Monroe,2027,270,915,255,0,1440,1440,
16,Walton,Tara,4050,362,1404,429,1,2196,2196,
17,Walton,Mountain,1657,301,621,186,0,1108,1108,
18,Walton,Jersey,1970,681,626,197,1,1505,1505,
19,Walton,Blasingame,1115,406,331,116,1,854,854,
20,Walton,Good Hope,2149,657,678,187,0,1522,1522,
