index,County,Precinct,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
0,Ware,100,4740,217,780,681,4,1682,86,331,215,2,634,2316,
1,Ware,200A,2730,211,742,236,5,1194,61,274,56,2,393,1587,
2,Ware,200B,976,38,166,98,3,305,31,82,43,0,156,461,
3,Ware,300,4061,296,1133,392,9,1830,146,481,85,4,716,2546,
4,Ware,304,1269,129,295,74,1,499,65,142,26,0,233,732,
5,Ware,400,3538,317,1146,349,3,1815,112,443,87,3,645,2460,
6,Ware,404,373,112,46,34,1,193,44,25,14,0,83,276,
7,Ware,405,636,123,135,44,0,302,83,58,10,1,152,454,
8,Ware,406,1659,209,482,120,1,812,99,204,15,0,318,1130,
9,Ware,407,505,142,68,18,0,228,64,41,13,0,118,346,
10,Ware,408,523,118,82,22,0,222,86,38,2,0,126,348,
11,Ware,409,984,141,234,63,0,438,82,130,21,0,233,671,
