index,County,Precinct,Registered Voters,Elmer Thrift (Rep)_Election Day Votes,Elmer Thrift (Rep)_Advanced Voting Votes,Elmer Thrift (Rep)_Absentee by Mail Votes,Elmer Thrift (Rep)_Provisional Votes,Elmer Thrift (Rep)_Choice Total,Total,
0,Ware,100,4740,224,718,602,4,1548,1548,
1,Ware,200A,2730,243,885,212,6,1346,1346,
2,Ware,200B,976,66,190,90,3,349,349,
3,Ware,300,4061,428,1530,411,8,2377,2377,
4,Ware,304,1269,198,444,83,1,726,726,
5,Ware,400,3538,418,1536,361,7,2322,2322,
6,Ware,404,373,155,72,37,1,265,265,
7,Ware,405,636,210,197,51,1,459,459,
8,Ware,406,1659,307,691,127,1,1126,1126,
9,Ware,407,505,206,116,30,0,352,352,
10,Ware,408,523,212,123,26,0,361,361,
11,Ware,409,984,224,355,75,0,654,654,
