Precinct,County,Registered Voters,Clark Tompkins (I) (Rep)_Election Day Votes,Clark Tompkins (I) (Rep)_Advanced Voting Votes,Clark Tompkins (I) (Rep)_Absentee by Mail Votes,Clark Tompkins (I) (Rep)_Provisional Votes,Clark Tompkins (I) (Rep)_Choice Total,Total,
Adairsville,Bartow,6995,899,2674,643,1,4217,4217,
Allatoona,Bartow,4729,630,1291,376,0,2297,2297,
Cartersville East,Bartow,6805,725,2099,800,1,3625,3625,
Cartersville West,Bartow,8129,705,3194,1036,1,4936,4936,
Cassville,Bartow,4588,513,1476,793,2,2784,2784,
Center,Bartow,4007,741,1372,486,2,2601,2601,
Emerson,Bartow,3122,631,806,317,1,1755,1755,
Euharlee,Bartow,5322,947,1869,496,1,3313,3313,
Folsom,Bartow,1448,421,383,131,0,935,935,
Hamilton Crossing,Bartow,6598,807,2415,470,1,3693,3693,
Kingston,Bartow,2674,684,722,271,0,1677,1677,
Mission Road,Bartow,4012,497,1431,446,3,2377,2377,
Pine Log,Bartow,2132,669,550,229,0,1448,1448,
Taylorsville,Bartow,2829,825,827,286,0,1938,1938,
White,Bartow,2723,688,783,273,1,1745,1745,
Zena Drive,Bartow,6431,677,1741,629,5,3052,3052,
Woodland,Bartow,1865,340,565,226,1,1132,1132,
