Precinct,County,Registered Voters,Anita Reynolds Howard (Dem)_Election Day Votes,Anita Reynolds Howard (Dem)_Advanced Voting Votes,Anita Reynolds Howard (Dem)_Absentee by Mail Votes,Anita Reynolds Howard (Dem)_Provisional Votes,Anita Reynolds Howard (Dem)_Choice Total,Total,
East Macon 1,Bibb,2108,242,373,333,6,954,954,
East Macon 2,Bibb,3932,465,1013,759,7,2244,2244,
East Macon 3,Bibb,3494,361,821,565,7,1754,1754,
East Macon 4,Bibb,2280,361,514,455,5,1335,1335,
East Macon 5,Bibb,2552,311,641,490,2,1444,1444,
Godfrey 1,Bibb,6283,605,1482,998,6,3091,3091,
Godfrey 2,Bibb,2158,222,360,261,1,844,844,
Godfrey 3,Bibb,3292,400,738,456,6,1600,1600,
Godfrey 4,Bibb,2231,256,350,273,2,881,881,
Godfrey 5,Bibb,4761,662,1144,645,4,2455,2455,
Hazzard 1,Bibb,3377,470,774,518,3,1765,1765,
Hazzard 2,Bibb,4173,665,1060,484,5,2214,2214,
Hazzard 3,Bibb,7068,690,1993,1115,14,3812,3812,
Hazzard 4,Bibb,4745,576,1379,730,3,2688,2688,
Howard 1,Bibb,3436,348,911,548,3,1810,1810,
Howard 2,Bibb,3394,368,919,525,4,1816,1816,
Howard 3,Bibb,6397,711,1811,950,4,3476,3476,
Howard 4,Bibb,1711,197,481,243,1,922,922,
Howard 5,Bibb,2272,350,596,241,4,1191,1191,
Howard 6,Bibb,2213,250,635,299,8,1192,1192,
Howard 7,Bibb,2897,361,777,453,3,1594,1594,
Rutland 1,Bibb,5704,762,1491,725,3,2981,2981,
Rutland 2,Bibb,3409,529,731,358,4,1622,1622,
Vineville 1,Bibb,3572,363,844,552,4,1763,1763,
Vineville 2,Bibb,2067,256,416,361,0,1033,1033,
Vineville 3,Bibb,3127,328,781,537,5,1651,1651,
Vineville 4,Bibb,4097,550,962,638,9,2159,2159,
Vineville 5,Bibb,2359,264,642,339,2,1247,1247,
Vineville 6,Bibb,3021,369,735,485,5,1594,1594,
Warrior 1,Bibb,2617,458,543,313,2,1316,1316,
Warrior 2,Bibb,3232,380,843,384,4,1611,1611,
