Precinct,County,Registered Voters,Jan Tankersley (I) (Rep)_Election Day Votes,Jan Tankersley (I) (Rep)_Advanced Voting Votes,Jan Tankersley (I) (Rep)_Absentee by Mail Votes,Jan Tankersley (I) (Rep)_Provisional Votes,Jan Tankersley (I) (Rep)_Choice Total,Total,
Emit,Bulloch,3360,641,1046,349,1,2037,2037,
Statesboro,Bulloch,6312,0,0,1,0,1,1,
Fair,Bulloch,6335,667,2154,696,4,3521,3521,
Pittman Park,Bulloch,5279,612,1105,327,1,2045,2045,
Leefield,Bulloch,1000,378,223,83,0,684,684,
Hagin,Bulloch,2403,185,230,92,0,507,507,
Brooklet,Bulloch,3351,753,1091,329,1,2174,2174,
Stilson,Bulloch,2137,639,466,177,1,1283,1283,
Bay,Bulloch,1610,563,384,148,0,1095,1095,
Nevils,Bulloch,1299,408,293,132,1,834,834,
Sinkhole,Bulloch,488,200,73,52,0,325,325,
Register,Bulloch,969,146,100,30,0,276,276,
