Precinct,County,Registered Voters,"Horace B. Waller, Jr. (I)_Election Day Votes","Horace B. Waller, Jr. (I)_Advanced Voting Votes","Horace B. Waller, Jr. (I)_Absentee by Mail Votes","Horace B. Waller, Jr. (I)_Provisional Votes","Horace B. Waller, Jr. (I)_Choice Total",Total,
1-01C First Presbyterian Church3187,Chatham,402,790,680,0,1872,1872,,
1-05C JEA Building,Chatham,2106,281,491,396,1,1169,1169,
1-06C Central Church of Christ2035,Chatham,330,389,385,2,1106,1106,,
1-08C Grace United Methodist Church1667,Chatham,283,324,246,1,854,854,,
1-09C Immanuel Baptist Church 739,Chatham,115,115,102,3,335,335,,
1-10C St Thomas Episcopal Church1101,Chatham,303,206,194,2,705,705,,
1-12C Isle of Hope Baptist,Chatham,1909,478,418,331,0,1227,1227,
1-13C The Sanctuary,Chatham,1396,250,267,212,1,730,730,
1-14C Compassion Christian Church1718,Chatham,240,394,286,0,920,920,,
1-16C Ferguson Ave Baptist,Chatham,2905,528,615,376,4,1523,1523,
1-17C Islands Christian Church3136,Chatham,436,796,617,1,1850,1850,,
2-02C Blackshear Community Center1714,Chatham,200,237,188,3,628,628,,
2-03C W W Law Center,Chatham,1609,179,229,209,2,619,619,
2-04C Fellowship of Love Church3178,Chatham,349,465,471,1,1286,1286,,
2-05C Holy Spirit Lutheran Church2079,Chatham,243,393,286,2,924,924,,
2-06C Eli Whitney Complex,Chatham,759,110,102,77,0,289,289,
2-07C Christ Community Church 2808,Chatham,314,457,362,2,1135,1135,,
2-09C Salvation Army,Chatham,3342,361,600,487,1,1449,1449,
2-11C Stillwell Towers,Chatham,1900,265,218,206,1,690,690,
2-12C Williams Court Apts,Chatham,1683,175,289,221,3,688,688,
3-01C Old Courthouse,Chatham,458,58,80,66,1,205,205,
3-02C Temple Mickve Israel,Chatham,1598,155,353,281,1,790,790,
3-03C Savannah High School,Chatham,1185,158,169,106,3,436,436,
3-04C First African Baptist Church1558,Chatham,246,191,186,0,623,623,,
3-05C Aldersgate Youth Center 2107,Chatham,269,308,264,1,842,842,,
3-08C Jenkins High School,Chatham,1210,150,217,164,0,531,531,
3-09C Cokesbury Methodist,Chatham,664,159,96,93,0,348,348,
3-10C Bible Baptist Church,Chatham,2640,354,404,376,2,1136,1136,
3-11C Southside Baptist Church1481,Chatham,217,226,197,3,643,643,,
3-12C Thunderbolt Muni Complex1678,Chatham,308,268,234,0,810,810,,
3-13C New Cov 7 Day Adv Ch,Chatham,2303,272,440,279,0,991,991,
3-14C Oglethorpe Charter Academy2381,Chatham,249,475,418,1,1143,1143,,
3-15C Eli Whitney Complex,Chatham,816,97,187,184,0,468,468,
4-02C Frank Murray Comm Center2472,Chatham,323,556,346,0,1225,1225,,
4-04C Lighthouse Baptist Church2470,Chatham,429,544,369,4,1346,1346,,
4-05C St Francis Episcopal Church2244,Chatham,467,510,319,1,1297,1297,,
4-06C First Baptist of the Island2252,Chatham,454,543,346,3,1346,1346,,
4-07C Wilmington Island UMC,Chatham,3370,527,783,528,3,1841,1841,
