Precinct,County,Registered Voters,Kim Windle James (I) (Rep)_Election Day Votes,Kim Windle James (I) (Rep)_Advanced Voting Votes,Kim Windle James (I) (Rep)_Absentee by Mail Votes,Kim Windle James (I) (Rep)_Provisional Votes,Kim Windle James (I) (Rep)_Choice Total,Total,
Coldwater,Chattooga,248,32,96,30,0,158,158,
Dirtseller,Chattooga,186,48,64,9,0,121,121,
Haywood,Chattooga,169,77,24,6,1,108,108,
Lyerly,Chattooga,934,243,292,74,2,611,611,
Trion,Chattooga,3496,627,1256,340,1,2224,2224,
Summerville,Chattooga,5155,642,1911,555,1,3109,3109,
Teloga,Chattooga,593,93,249,79,0,421,421,
Dirttown,Chattooga,897,263,279,82,0,624,624,
Seminole,Chattooga,138,37,47,21,0,105,105,
Subligna,Chattooga,489,172,129,57,1,359,359,
Alpine,Chattooga,872,278,242,82,0,602,602,
Cloudland,Chattooga,378,88,126,43,0,257,257,
Pennville,Chattooga,588,75,211,47,0,333,333,
