Precinct,County,Registered Voters,Brandon Beach (I) (Rep)_Election Day Votes,Brandon Beach (I) (Rep)_Advanced Voting Votes,Brandon Beach (I) (Rep)_Absentee by Mail Votes,Brandon Beach (I) (Rep)_Provisional Votes,Brandon Beach (I) (Rep)_Choice Total,Total,
Air Acres,Cherokee,3050,498,895,452,1,1846,1846,
Arnold Mill,Cherokee,4884,848,1653,737,0,3238,3238,
Avery,Cherokee,3592,488,1495,556,1,2540,2540,
Ball Ground,Cherokee,4065,550,1797,377,1,2725,2725,
Bascomb,Cherokee,4115,385,785,318,0,1488,1488,
Booth,Cherokee,3899,435,1345,563,0,2343,2343,
Bradshaw,Cherokee,4491,532,1847,706,0,3085,3085,
Conns Creek,Cherokee,895,265,291,74,0,630,630,
Deer Run,Cherokee,3035,642,814,389,1,1846,1846,
Freehome,Cherokee,5790,744,2330,925,0,3999,3999,
Hickory Flat,Cherokee,7334,842,2924,986,1,4753,4753,
Hightower,Cherokee,3483,508,1484,460,0,2452,2452,
Hillside,Cherokee,3155,411,1211,477,0,2099,2099,
Holly Springs,Cherokee,3262,509,991,348,0,1848,1848,
Little River,Cherokee,7480,81,224,117,0,422,422,
Macedonia,Cherokee,4853,693,2043,687,0,3423,3423,
Mountain Road,Cherokee,3078,609,1008,412,1,2030,2030,
Neese,Cherokee,7642,885,2274,1113,0,4272,4272,
Rosecreek,Cherokee,3748,571,1312,492,0,2375,2375,
Sixes,Cherokee,3101,459,1104,488,0,2051,2051,
Toonigh,Cherokee,6641,779,2468,871,0,4118,4118,
Union Hill,Cherokee,4207,851,1521,603,2,2977,2977,
Univeter,Cherokee,5434,623,2189,661,0,3473,3473,
Wildcat,Cherokee,3215,558,1131,319,0,2008,2008,
Woodlands,Cherokee,3456,750,844,479,0,2073,2073,
Woodstock,Cherokee,7345,808,2162,887,1,3858,3858,
