Precinct,County,Registered Voters,Jessie Goree (I) (Dem)_Election Day Votes,Jessie Goree (I) (Dem)_Advanced Voting Votes,Jessie Goree (I) (Dem)_Absentee by Mail Votes,Jessie Goree (I) (Dem)_Provisional Votes,Jessie Goree (I) (Dem)_Choice Total,Total,
Jonesboro 2,Clayton,4345,10,60,39,0,109,109,
Oak 4,Clayton,4233,148,354,168,1,671,671,
Riverdale 1,Clayton,2330,177,842,420,7,1446,1446,
Riverdale 3,Clayton,3650,345,1122,606,3,2076,2076,
Riverdale 4,Clayton,4362,309,645,461,2,1417,1417,
Riverdale 7,Clayton,3020,317,553,335,4,1209,1209,
Riverdale 8,Clayton,2895,252,914,604,4,1774,1774,
Riverdale 9,Clayton,2653,1,4,2,0,7,7,
Riverdale 10,Clayton,3176,11,42,18,0,71,71,
Riverdale 11,Clayton,1881,173,621,312,1,1107,1107,
Riverdale 12,Clayton,3065,307,909,525,2,1743,1743,
