Precinct,County,Registered Voters,Mike Boyce (I) (Rep)_Election Day Votes,Mike Boyce (I) (Rep)_Advanced Voting Votes,Mike Boyce (I) (Rep)_Absentee by Mail Votes,Mike Boyce (I) (Rep)_Provisional Votes,Mike Boyce (I) (Rep)_Choice Total,Lisa Cupid (Dem)_Election Day Votes,Lisa Cupid (Dem)_Advanced Voting Votes,Lisa Cupid (Dem)_Absentee by Mail Votes,Lisa Cupid (Dem)_Provisional Votes,Lisa Cupid (Dem)_Choice Total,Total,
Acworth 1A,Cobb,5458,275,1095,618,1,1989,211,826,864,2,1903,3892,
Acworth 1B,Cobb,5214,416,1007,586,2,2011,267,677,615,3,1562,3573,
Acworth 1C,Cobb,5110,212,712,315,2,1241,284,1066,789,7,2146,3387,
Addison 01,Cobb,2444,246,377,385,0,1008,127,321,460,2,910,1918,
Austell 1A,Cobb,5329,158,265,184,2,609,374,1300,957,11,2642,3251,
Bells Ferry 02,Cobb,3127,327,527,359,1,1214,152,400,463,1,1016,2230,
Bells Ferry 03,Cobb,2436,287,338,201,2,828,177,298,334,1,810,1638,
Bells Ferry 04,Cobb,3646,481,634,408,2,1525,185,453,475,3,1116,2641,
Big Shanty 01,Cobb,2385,232,380,279,5,896,134,281,254,1,670,1566,
Big Shanty 02,Cobb,3236,311,597,405,3,1316,175,435,490,1,1101,2417,
Baker 01,Cobb,4773,366,713,311,4,1394,284,945,627,5,1861,3255,
Birney 01,Cobb,2727,131,241,261,4,637,214,473,428,8,1123,1760,
Birney 02,Cobb,3894,185,426,386,0,997,197,855,822,4,1878,2875,
Bryant 01,Cobb,2142,28,41,29,1,99,187,711,469,2,1369,1468,
Bryant 02,Cobb,6209,63,111,60,0,234,524,1472,794,6,2796,3030,
Blackwell 01,Cobb,2698,226,457,304,3,990,178,346,484,0,1008,1998,
Chattahoochee 01,Cobb,5969,279,548,280,4,1111,403,1357,924,3,2687,3798,
Cheatham Hill 02,Cobb,3085,318,719,483,0,1520,117,372,442,1,932,2452,
Cheatham Hill 03,Cobb,4029,322,827,583,1,1733,145,712,643,0,1500,3233,
Chalker 01,Cobb,6065,329,649,453,1,1432,474,1108,747,2,2331,3763,
Clarkdale 01,Cobb,1937,118,200,155,1,474,120,335,301,2,758,1232,
Clarkdale 02,Cobb,5372,268,477,282,1,1028,442,1260,842,5,2549,3577,
Cooper 01,Cobb,5252,129,303,235,1,668,414,1242,924,3,2583,3251,
