Precinct,County,Registered Voters,Michael Rhett (I) (Dem)_Election Day Votes,Michael Rhett (I) (Dem)_Advanced Voting Votes,Michael Rhett (I) (Dem)_Absentee by Mail Votes,Michael Rhett (I) (Dem)_Provisional Votes,Michael Rhett (I) (Dem)_Choice Total,Total,
Austell 1A,Cobb,5329,458,1368,1041,6,2873,2873,
Birney 01,Cobb,2727,283,544,545,10,1382,1382,
Clarkdale 01,Cobb,1937,175,406,357,1,939,939,
Clarkdale 02,Cobb,5372,566,1469,944,4,2983,2983,
Cooper 01,Cobb,5252,475,1351,1005,3,2834,2834,
Eastside 02,Cobb,4074,96,320,401,1,818,818,
Elizabeth 01,Cobb,4065,34,58,26,0,118,118,
Elizabeth 02,Cobb,2434,229,476,532,0,1237,1237,
Elizabeth 04,Cobb,3011,186,186,163,0,535,535,
East Piedmont 01,Cobb,2627,161,164,176,0,501,501,
Fair Oaks 02,Cobb,5779,616,1230,1057,6,2909,2909,
Fair Oaks 04,Cobb,5322,644,756,737,2,2139,2139,
Mableton 01,Cobb,5127,349,1356,1179,0,2884,2884,
Mableton 02,Cobb,3330,202,432,391,0,1025,1025,
Macland 01,Cobb,4213,340,1254,882,1,2477,2477,
McEachern 01,Cobb,3549,223,1006,790,1,2020,2020,
Marietta 1A,Cobb,4468,256,514,469,1,1240,1240,
Marietta 2A,Cobb,2059,226,369,369,0,964,964,
Marietta 2B,Cobb,4447,453,1064,807,3,2327,2327,
Marietta 3A,Cobb,4388,362,987,902,2,2253,2253,
Marietta 3B,Cobb,2218,196,532,449,1,1178,1178,
Marietta 4A,Cobb,1956,276,330,367,1,974,974,
Marietta 4B,Cobb,2056,194,439,417,1,1051,1051,
Marietta 5A,Cobb,3324,365,688,606,2,1661,1661,
Marietta 5B,Cobb,3084,214,396,323,0,933,933,
Marietta 6A,Cobb,2647,132,245,180,2,559,559,
Marietta 6B,Cobb,2910,278,687,710,0,1675,1675,
Marietta 7A,Cobb,3745,185,390,257,1,833,833,
Oregon 02,Cobb,5671,524,1434,1237,1,3196,3196,
Oregon 03,Cobb,5713,503,1076,859,5,2443,2443,
Oregon 04,Cobb,4673,429,1141,1078,3,2651,2651,
Powers Ferry 01,Cobb,3504,365,677,712,3,1757,1757,
Powders Springs 1A,Cobb,4755,272,1504,1132,3,2911,2911,
Powders Springs 2A,Cobb,3536,269,1025,668,3,1965,1965,
Powders Springs 3A,Cobb,3991,318,1251,690,1,2260,2260,
Sewell Mill 03,Cobb,4759,492,935,881,1,2309,2309,
Smyrna 5A,Cobb,4319,3,6,3,0,12,12,
Sweetwater 01,Cobb,3235,279,866,588,0,1733,1733,
Sweetwater 02,Cobb,3367,310,668,653,17,1648,1648,
