Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Acworth 1A,Cobb,5458,351,1361,1022,1,2735,124,545,444,2,1115,3850,
Acworth 1B,Cobb,5214,513,1249,795,3,2560,162,416,370,2,950,3510,
Acworth 1C,Cobb,5110,375,1353,777,7,2512,113,409,292,2,816,3328,
Addison 01,Cobb,2444,260,517,603,1,1381,115,167,239,1,522,1903,
Austell 1A,Cobb,5329,423,1199,830,12,2464,105,307,296,1,709,3173,
Bells Ferry 02,Cobb,3127,332,689,559,1,1581,138,230,246,1,615,2196,
Bells Ferry 03,Cobb,2436,346,483,382,2,1213,117,138,146,1,402,1615,
Bells Ferry 04,Cobb,3646,479,756,644,4,1883,187,303,235,1,726,2609,
Big Shanty 01,Cobb,2385,270,457,378,4,1109,105,180,159,1,445,1554,
Big Shanty 02,Cobb,3236,363,743,642,3,1751,119,289,253,0,661,2412,
Baker 01,Cobb,4773,510,1288,693,5,2496,150,369,247,2,768,3264,
Birney 01,Cobb,2727,274,518,466,9,1267,86,179,205,3,473,1740,
Birney 02,Cobb,3894,289,961,870,3,2123,87,305,315,1,708,2831,
Bryant 01,Cobb,2142,167,593,385,2,1147,47,138,98,1,284,1431,
Bryant 02,Cobb,6209,471,1245,650,6,2372,110,310,175,0,595,2967,
Blackwell 01,Cobb,2698,282,564,553,3,1402,132,226,232,0,590,1992,
Chattahoochee 01,Cobb,5969,527,1481,942,8,2958,165,411,241,0,817,3775,
Cheatham Hill 02,Cobb,3085,335,755,635,1,1726,95,311,284,0,690,2416,
Cheatham Hill 03,Cobb,4029,337,1095,868,0,2300,127,427,341,1,896,3196,
Chalker 01,Cobb,6065,632,1320,860,2,2814,178,421,315,1,915,3729,
Clarkdale 01,Cobb,1937,161,385,307,2,855,70,129,126,1,326,1181,
Clarkdale 02,Cobb,5372,531,1291,814,5,2641,167,399,283,1,850,3491,
Cooper 01,Cobb,5252,400,1188,848,2,2438,136,324,276,0,736,3174,
Chestnut Ridge 01,Cobb,3162,306,669,822,0,1797,133,291,361,0,785,2582,
Dickerson 01,Cobb,2828,257,639,701,1,1598,94,247,335,3,679,2277,
Dobbins 01,Cobb,3024,272,414,317,7,1010,82,140,135,5,362,1372,
Dobbins 02,Cobb,3984,427,894,506,7,1834,129,247,152,0,528,2362,
Dowell 01,Cobb,3197,322,832,660,3,1817,103,282,236,1,622,2439,
Dodgen 01,Cobb,2100,256,456,534,2,1248,82,165,205,1,453,1701,
Durham 01,Cobb,4256,362,1325,729,3,2419,117,496,327,0,940,3359,
Davis 01,Cobb,2093,343,452,402,1,1198,101,161,178,0,440,1638,
Eastside 01,Cobb,3040,304,608,815,4,1731,123,267,339,0,729,2460,
Eastside 02,Cobb,4074,301,857,1122,2,2282,137,305,494,0,936,3218,
Elizabeth 01,Cobb,4065,440,882,540,1,1863,113,248,166,3,530,2393,
Elizabeth 02,Cobb,2434,274,474,522,4,1274,100,207,243,0,550,1824,
Elizabeth 03,Cobb,2767,302,563,670,1,1536,130,240,269,1,640,2176,
Elizabeth 04,Cobb,3011,365,549,503,0,1417,153,181,241,1,576,1993,
Elizabeth 05,Cobb,2884,343,585,654,0,1582,139,227,254,0,620,2202,
East Piedmont 01,Cobb,2627,333,538,461,0,1332,120,173,176,0,469,1801,
Fair Oaks 02,Cobb,5779,570,1058,901,5,2534,155,364,304,2,825,3359,
Fair Oaks 04,Cobb,5322,605,711,652,6,1974,174,229,225,0,628,2602,
Fullers Park 01,Cobb,3452,347,720,833,0,1900,138,308,372,0,818,2718,
Ford 01,Cobb,3161,293,925,539,0,1757,100,382,242,1,725,2482,
Frey 01,Cobb,2582,182,803,383,0,1368,57,311,206,0,574,1942,
Garrison Mill 01,Cobb,2872,317,684,634,1,1636,154,250,217,0,621,2257,
Gritters 01,Cobb,4033,492,814,771,0,2077,183,327,311,2,823,2900,
Harmony-Leland 01,Cobb,6394,364,1784,1268,3,3419,112,469,385,2,968,4387,
Harrison 01,Cobb,3122,306,842,569,0,1717,129,345,231,0,705,2422,
Hightower 01,Cobb,4262,350,841,1199,0,2390,146,372,504,0,1022,3412,
Hayes 01,Cobb,4111,368,1112,806,0,2286,115,399,347,1,862,3148,
Kennesaw 1A,Cobb,2499,314,596,309,12,1231,98,161,115,3,377,1608,
Kennesaw 2A,Cobb,3944,375,905,615,2,1897,147,356,233,3,739,2636,
Kennesaw 3A,Cobb,6477,529,1626,984,7,3146,168,457,365,0,990,4136,
Kennesaw 4A,Cobb,3783,317,930,684,2,1933,117,294,260,1,672,2605,
Kennesaw 5A,Cobb,5855,681,1623,972,1,3277,170,525,361,0,1056,4333,
Kell 01,Cobb,2006,296,376,408,0,1080,134,153,147,1,435,1515,
Kemp 01,Cobb,1960,224,505,389,0,1118,85,179,134,0,398,1516,
Kemp 02,Cobb,4049,387,1014,802,7,2210,155,388,338,0,881,3091,
Kemp 03,Cobb,3955,435,1086,661,3,2185,171,455,300,0,926,3111,
Lassiter 01,Cobb,3647,429,844,806,0,2079,133,325,360,0,818,2897,
Lindley 01,Cobb,4797,343,1371,1048,0,2762,113,397,378,0,888,3650,
Lost Mountain 01,Cobb,3604,199,1115,720,1,2035,99,465,289,0,853,2888,
Lost Mountain 02,Cobb,4121,344,1310,746,0,2400,114,586,302,0,1002,3402,
Lost Mountain 03,Cobb,5387,309,1811,925,2,3047,93,661,424,0,1178,4225,
Lost Mountain 04,Cobb,2629,235,720,465,1,1421,87,347,222,0,656,2077,
Mableton 01,Cobb,5127,317,1211,999,3,2530,92,407,410,1,910,3440,
Mableton 02,Cobb,3330,269,594,507,0,1370,106,201,187,0,494,1864,
Mableton 03,Cobb,3010,265,670,573,2,1510,103,249,240,1,593,2103,
Mableton 04,Cobb,1581,155,376,382,0,913,55,130,147,0,332,1245,
Mabry 01,Cobb,1656,218,395,362,3,978,81,146,141,2,370,1348,
Macland 01,Cobb,4213,314,1083,759,1,2157,101,355,210,0,666,2823,
Murdock 01,Cobb,4059,391,811,1074,0,2276,194,330,435,0,959,3235,
McEachern 01,Cobb,3549,217,968,681,1,1867,75,335,305,0,715,2582,
McCleskey 01,Cobb,1736,257,403,402,0,1062,73,138,139,0,350,1412,
McClure 01,Cobb,3290,353,893,589,2,1837,141,339,217,0,697,2534,
Marietta 1A,Cobb,4468,402,766,549,4,1721,119,237,196,2,554,2275,
Marietta 2A,Cobb,2059,310,471,467,0,1248,81,179,179,0,439,1687,
Marietta 2B,Cobb,4447,429,1047,799,3,2278,155,303,275,0,733,3011,
Marietta 3A,Cobb,4388,381,966,911,1,2259,145,368,315,2,830,3089,
Marietta 3B,Cobb,2218,170,477,383,1,1031,51,115,112,0,278,1309,
Marietta 4A,Cobb,1956,354,395,438,0,1187,126,143,163,0,432,1619,
Marietta 4B,Cobb,2056,219,463,437,1,1120,77,141,147,0,365,1485,
Marietta 4C,Cobb,2781,306,736,584,0,1626,77,265,235,0,577,2203,
