Precinct,County,Registered Voters,Donald L. Perryman (I) (Rep)_Election Day Votes,Donald L. Perryman (I) (Rep)_Advanced Voting Votes,Donald L. Perryman (I) (Rep)_Absentee by Mail Votes,Donald L. Perryman (I) (Rep)_Provisional Votes,Donald L. Perryman (I) (Rep)_Choice Total,Total,
Acworth 1A,Cobb,5458,403,1565,1047,3,3018,3018,
Acworth 1B,Cobb,5214,576,1390,872,3,2841,2841,
Acworth 1C,Cobb,5110,403,1313,755,5,2476,2476,
Addison 01,Cobb,2444,326,555,622,0,1503,1503,
Austell 1A,Cobb,5329,390,941,651,9,1991,1991,
Bells Ferry 02,Cobb,3127,416,760,594,1,1771,1771,
Bells Ferry 03,Cobb,2436,410,504,358,3,1275,1275,
Bells Ferry 04,Cobb,3646,603,900,657,4,2164,2164,
Big Shanty 01,Cobb,2385,330,565,436,5,1336,1336,
Big Shanty 02,Cobb,3236,415,859,622,3,1899,1899,
Baker 01,Cobb,4773,539,1269,647,6,2461,2461,
Birney 01,Cobb,2727,260,498,495,9,1262,1262,
Birney 02,Cobb,3894,309,912,782,1,2004,2004,
Bryant 01,Cobb,2142,134,395,224,1,754,754,
Bryant 02,Cobb,6209,353,913,459,0,1725,1725,
Blackwell 01,Cobb,2698,339,649,551,2,1541,1541,
Chattahoochee 01,Cobb,5969,535,1359,787,5,2686,2686,
Cheatham Hill 02,Cobb,3085,402,920,708,0,2030,2030,
Cheatham Hill 03,Cobb,4029,410,1216,879,1,2506,2506,
Chalker 01,Cobb,6065,673,1373,839,2,2887,2887,
Clarkdale 01,Cobb,1937,183,377,292,2,854,854,
Clarkdale 02,Cobb,5372,529,1125,707,2,2363,2363,
Cooper 01,Cobb,5252,359,959,694,1,2013,2013,
Chestnut Ridge 01,Cobb,3162,407,808,873,0,2088,2088,
Dickerson 01,Cobb,2828,332,769,757,3,1861,1861,
Dobbins 01,Cobb,3024,267,406,293,10,976,976,
Dobbins 02,Cobb,3984,434,817,447,2,1700,1700,
Dowell 01,Cobb,3197,356,881,620,3,1860,1860,
Dodgen 01,Cobb,2100,313,545,536,3,1397,1397,
Durham 01,Cobb,4256,458,1639,869,1,2967,2967,
Davis 01,Cobb,2093,418,504,413,0,1335,1335,
Eastside 01,Cobb,3040,401,739,867,4,2011,2011,
Eastside 02,Cobb,4074,401,983,1181,2,2567,2567,
Elizabeth 01,Cobb,4065,445,838,472,4,1759,1759,
Elizabeth 02,Cobb,2434,331,550,578,4,1463,1463,
Elizabeth 03,Cobb,2767,379,652,753,1,1785,1785,
Elizabeth 04,Cobb,3011,416,522,517,1,1456,1456,
Elizabeth 05,Cobb,2884,419,684,635,0,1738,1738,
East Piedmont 01,Cobb,2627,391,546,468,1,1406,1406,
Fair Oaks 02,Cobb,5779,545,957,790,5,2297,2297,
Fair Oaks 04,Cobb,5322,585,656,603,4,1848,1848,
Fullers Park 01,Cobb,3452,437,883,888,0,2208,2208,
Ford 01,Cobb,3161,383,1177,616,1,2177,2177,
Frey 01,Cobb,2582,218,1003,472,0,1693,1693,
Garrison Mill 01,Cobb,2872,426,794,616,1,1837,1837,
Gritters 01,Cobb,4033,610,929,807,2,2348,2348,
Harmony-Leland 01,Cobb,6394,339,1458,947,4,2748,2748,
Harrison 01,Cobb,3122,409,1088,632,0,2129,2129,
Hightower 01,Cobb,4262,466,1021,1294,0,2781,2781,
Hayes 01,Cobb,4111,453,1319,873,1,2646,2646,
Kennesaw 1A,Cobb,2499,350,616,324,11,1301,1301,
Kennesaw 2A,Cobb,3944,454,1037,627,3,2121,2121,
Kennesaw 3A,Cobb,6477,549,1557,909,5,3020,3020,
Kennesaw 4A,Cobb,3783,373,1001,712,3,2089,2089,
Kennesaw 5A,Cobb,5855,751,1663,917,1,3332,3332,
Kell 01,Cobb,2006,391,454,424,1,1270,1270,
Kemp 01,Cobb,1960,297,620,440,0,1357,1357,
Kemp 02,Cobb,4049,483,1171,894,3,2551,2551,
Kemp 03,Cobb,3955,580,1386,778,2,2746,2746,
Lassiter 01,Cobb,3647,542,985,878,0,2405,2405,
Lindley 01,Cobb,4797,358,1135,897,0,2390,2390,
Lost Mountain 01,Cobb,3604,261,1350,745,1,2357,2357,
Lost Mountain 02,Cobb,4121,437,1694,839,0,2970,2970,
Lost Mountain 03,Cobb,5387,363,2134,1084,2,3583,3583,
Lost Mountain 04,Cobb,2629,301,940,524,1,1766,1766,
Mableton 01,Cobb,5127,316,1091,950,3,2360,2360,
Mableton 02,Cobb,3330,280,522,492,0,1294,1294,
Mableton 03,Cobb,3010,301,689,585,2,1577,1577,
Mableton 04,Cobb,1581,185,396,368,0,949,949,
Mabry 01,Cobb,1656,278,478,376,4,1136,1136,
Macland 01,Cobb,4213,302,977,631,1,1911,1911,
Murdock 01,Cobb,4059,544,960,1109,0,2613,2613,
McEachern 01,Cobb,3549,241,943,643,1,1828,1828,
McCleskey 01,Cobb,1736,294,467,389,0,1150,1150,
McClure 01,Cobb,3290,456,1101,597,3,2157,2157,
Marietta 1A,Cobb,4468,425,750,512,4,1691,1691,
Marietta 2A,Cobb,2059,353,530,514,0,1397,1397,
Marietta 2B,Cobb,4447,468,1006,756,1,2231,2231,
Marietta 3A,Cobb,4388,455,1070,867,1,2393,2393,
Marietta 3B,Cobb,2218,158,363,301,0,822,822,
Marietta 4A,Cobb,1956,465,471,482,0,1418,1418,
Marietta 4B,Cobb,2056,258,485,430,0,1173,1173,
Marietta 4C,Cobb,2781,356,893,606,0,1855,1855,
Marietta 5A,Cobb,3324,343,580,436,2,1361,1361,
Marietta 5B,Cobb,3084,311,459,347,3,1120,1120,
Marietta 6A,Cobb,2647,273,488,284,3,1048,1048,
Marietta 6B,Cobb,2910,339,739,651,0,1729,1729,
Marietta 7A,Cobb,3745,292,591,351,3,1237,1237,
Mars Hill 01,Cobb,3633,486,1278,635,2,2401,2401,
Mars Hill 02,Cobb,2916,390,840,478,0,1708,1708,
