Precinct,County,Registered Voters,Brad Shealy (I) (Rep)_Election Day Votes,Brad Shealy (I) (Rep)_Advanced Voting Votes,Brad Shealy (I) (Rep)_Absentee by Mail Votes,Brad Shealy (I) (Rep)_Provisional Votes,Brad Shealy (I) (Rep)_Choice Total,Total,
Shaw,Colquitt,3487,156,462,233,0,851,851,
Moultrie,Colquitt,4809,469,1434,451,1,2355,2355,
Autreyville,Colquitt,1512,287,447,89,2,825,825,
Bridgecreek,Colquitt,1191,278,456,95,2,831,831,
Crosland,Colquitt,289,90,38,19,0,147,147,
Doerun,Colquitt,619,188,131,32,0,351,351,
Funston,Colquitt,1030,293,280,73,3,649,649,
Hamilton,Colquitt,784,272,210,50,0,532,532,
Hartsfield,Colquitt,408,172,88,43,1,304,304,
Hopewell,Colquitt,1670,288,637,134,2,1061,1061,
Lee,Colquitt,1094,227,302,82,0,611,611,
Millcreek,Colquitt,422,113,138,39,0,290,290,
Monk,Colquitt,1555,360,481,112,0,953,953,
Murphy,Colquitt,973,191,447,67,0,705,705,
Norman Park,Colquitt,2586,463,757,202,0,1422,1422,
Robinson,Colquitt,860,244,211,54,0,509,509,
Thigpen,Colquitt,251,101,45,19,0,165,165,
Tyty,Colquitt,543,231,81,34,0,346,346,
Warrior,Colquitt,971,285,258,69,0,612,612,
