Precinct,County,Registered Voters,"Thomas R. Coleman, Jr. (I)_Election Day Votes","Thomas R. Coleman, Jr. (I)_Advanced Voting Votes","Thomas R. Coleman, Jr. (I)_Absentee by Mail Votes","Thomas R. Coleman, Jr. (I)_Provisional Votes","Thomas R. Coleman, Jr. (I)_Choice Total",Total,
Shaw,Colquitt,3487,171,493,268,0,932,932,
Moultrie,Colquitt,4809,462,1463,473,1,2399,2399,
Autreyville,Colquitt,1512,281,437,90,1,809,809,
Bridgecreek,Colquitt,1191,270,440,102,1,813,813,
Crosland,Colquitt,289,86,37,21,0,144,144,
Doerun,Colquitt,619,186,127,35,0,348,348,
Funston,Colquitt,1030,290,280,73,3,646,646,
Hamilton,Colquitt,784,268,208,51,0,527,527,
Hartsfield,Colquitt,408,170,88,43,1,302,302,
Hopewell,Colquitt,1670,280,632,133,2,1047,1047,
Lee,Colquitt,1094,221,290,83,0,594,594,
Millcreek,Colquitt,422,109,136,41,0,286,286,
Monk,Colquitt,1555,348,461,110,0,919,919,
Murphy,Colquitt,973,189,440,70,0,699,699,
Norman Park,Colquitt,2586,447,743,208,0,1398,1398,
Robinson,Colquitt,860,235,200,54,0,489,489,
Thigpen,Colquitt,251,101,46,19,0,166,166,
Tyty,Colquitt,543,225,76,35,0,336,336,
Warrior,Colquitt,971,276,253,69,0,598,598,
