Precinct,County,Registered Voters,Sam Watson (I) (Rep)_Election Day Votes,Sam Watson (I) (Rep)_Advanced Voting Votes,Sam Watson (I) (Rep)_Absentee by Mail Votes,Sam Watson (I) (Rep)_Provisional Votes,Sam Watson (I) (Rep)_Choice Total,Total,
Shaw,Colquitt,3487,158,470,227,0,855,855,
Moultrie,Colquitt,4809,475,1451,456,0,2382,2382,
Autreyville,Colquitt,1512,289,453,88,2,832,832,
Crosland,Colquitt,289,93,40,20,0,153,153,
Hopewell,Colquitt,1670,290,645,132,3,1070,1070,
Lee,Colquitt,1094,227,303,82,0,612,612,
Murphy,Colquitt,973,193,451,65,0,709,709,
Norman Park,Colquitt,2586,463,758,199,0,1420,1420,
Robinson,Colquitt,860,245,215,56,0,516,516,
Tyty,Colquitt,543,233,81,34,0,348,348,
Warrior,Colquitt,971,293,266,67,0,626,626,
