Precinct,County,Registered Voters,Barry Fleming (I) (Rep)_Election Day Votes,Barry Fleming (I) (Rep)_Advanced Voting Votes,Barry Fleming (I) (Rep)_Absentee by Mail Votes,Barry Fleming (I) (Rep)_Provisional Votes,Barry Fleming (I) (Rep)_Choice Total,Total,
Kiokee Baptist Church,Columbia,2541,472,1191,220,0,1883,1883,
New Life Church,Columbia,4438,487,1482,344,1,2314,2314,
Harlem Branch Library,Columbia,2642,418,992,241,2,1653,1653,
Harlem Senior Center,Columbia,1819,378,590,160,0,1128,1128,
Second Mt Moriah Baptist Church1027,Columbia,176,431,89,1,697,697,,
Bessie Thomas Center,Columbia,799,120,383,71,2,576,576,
Philadelphia Church,Columbia,2355,292,850,201,1,1344,1344,
Liberty Park-Grovetown,Columbia,3410,424,994,265,2,1685,1685,
Grovetown Methodist Church,Columbia,2736,353,593,210,5,1161,1161,
G A Apostolic Church,Columbia,1701,290,511,176,0,977,977,
Grovetown Public Safety Station 23696,Columbia,379,1091,320,2,1792,1792,,
Grove First Baptist Church,Columbia,2954,272,864,223,1,1360,1360,
Eubank-Blanchard Center,Columbia,1576,424,546,96,1,1067,1067,
Second Mt Carmel Baptist Church731,Columbia,154,175,57,0,386,386,,
Belair Baptist Church,Columbia,2440,434,760,257,1,1452,1452,
