Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
Senoia,Coweta,5838,993,1770,661,0,3424,157,472,465,1,1095,45,41,22,0,108,4627,
Moreland,Coweta,2758,895,579,286,0,1760,117,98,171,0,386,19,14,12,1,46,2192,
Pine Road,Coweta,2095,545,494,233,0,1272,49,100,91,0,240,16,8,5,0,29,1541,
Dresden,Coweta,839,331,110,64,0,505,51,24,42,0,117,12,2,2,0,16,638,
Newnan,Coweta,3478,325,342,182,0,849,317,458,489,0,1264,25,13,17,0,55,2168,
Sharpsburg,Coweta,4526,869,1476,414,1,2760,122,315,259,0,696,32,34,16,0,82,3538,
Fischer Road,Coweta,4328,661,1320,452,0,2433,168,360,349,1,878,29,36,19,0,84,3395,
Cedar Creek,Coweta,5330,972,1592,665,0,3229,144,394,425,0,963,47,30,25,0,102,4294,
Grantville,Coweta,2572,672,357,171,1,1201,198,142,162,0,502,24,13,11,0,48,1751,
Haralson,Coweta,2339,769,498,185,0,1452,93,78,133,0,304,26,9,12,0,47,1803,
Welcome,Coweta,3212,1041,470,302,0,1813,154,132,198,0,484,32,10,10,0,52,2349,
Panther Creek,Coweta,3028,859,501,252,0,1612,148,127,219,0,494,31,17,15,0,63,2169,
Raymond,Coweta,2492,604,650,241,0,1495,99,133,144,0,376,17,11,16,0,44,1915,
Turin,Coweta,4477,1002,1357,445,0,2804,165,304,265,0,734,42,25,13,0,80,3618,
Smokey Road,Coweta,2559,410,334,175,0,919,225,260,262,1,748,21,14,14,0,49,1716,
Central,Coweta,4395,268,395,174,0,837,456,575,478,3,1512,28,26,22,2,78,2427,
Newnan Centre,Coweta,20465,2064,4629,1814,0,8507,1102,2831,2164,0,6097,120,129,119,2,370,14974,
Greentop,Coweta,2846,468,456,311,0,1235,182,267,288,1,738,22,17,21,0,60,2033,
Expo Center,Coweta,1974,456,351,240,0,1047,141,136,150,0,427,21,6,11,0,38,1512,
White Oak,Coweta,4636,685,1304,386,1,2376,213,443,371,0,1027,31,42,24,0,97,3500,
Madras,Coweta,4462,709,1123,459,0,2291,189,510,432,4,1135,34,37,24,0,95,3521,
Cannongate,Coweta,3653,789,1027,397,0,2213,131,272,226,0,629,27,25,22,0,74,2916,
Westside,Coweta,838,83,56,38,0,177,162,76,98,0,336,12,2,1,0,15,528,
Northside,Coweta,2285,533,348,248,0,1129,191,161,217,1,570,29,11,17,0,57,1756,
Thomas Crossroads,Coweta,4962,832,1641,448,0,2921,158,383,311,0,852,34,40,18,0,92,3865,
Coweta Central Library,Coweta,1723,270,607,161,0,1038,67,150,94,0,311,10,9,8,0,27,1376,
