Precinct,County,Registered Voters,Steve Bradshaw (I) (Dem)_Election Day Votes,Steve Bradshaw (I) (Dem)_Advanced Voting Votes,Steve Bradshaw (I) (Dem)_Absentee by Mail Votes,Steve Bradshaw (I) (Dem)_Provisional Votes,Steve Bradshaw (I) (Dem)_Choice Total,Total,
Allgood Elem,DeKalb,2858,252,894,611,4,1761,1761,
Avondale,DeKalb,2906,304,996,764,1,2065,2065,
Avondale High,DeKalb,3151,72,636,525,0,1233,1233,
Brockett,DeKalb,2681,187,648,427,3,1265,1265,
Clarkston,DeKalb,3878,393,967,424,8,1792,1792,
Covington Hwy,DeKalb,995,52,102,58,2,214,214,
Covington,DeKalb,2376,141,702,367,3,1213,1213,
Clarkston Community Center,DeKalb,2495,223,621,381,7,1232,1232,
Dunaire Elem,DeKalb,2268,191,636,426,5,1258,1258,
Freedom Middle,DeKalb,3227,295,872,548,8,1723,1723,
Glennwood,DeKalb,2715,1,29,18,0,48,48,
Hambrick Elem,DeKalb,3776,307,1102,645,8,2062,2062,
Idlewood Elem,DeKalb,2472,221,752,433,7,1413,1413,
Indian Creek,DeKalb,2318,177,513,365,11,1066,1066,
Jolly Elem,DeKalb,3679,266,919,637,11,1833,1833,
Miller-Eldridge L Miller Elem 3455,DeKalb,303,951,709,3,1966,1966,,
McLendon,DeKalb,3607,191,1047,880,7,2125,2125,
Montreal,DeKalb,2586,142,551,356,1,1050,1050,
Memorial South,DeKalb,3138,250,711,376,18,1355,1355,
North Decatur,DeKalb,2166,121,630,511,12,1274,1274,
North Hairston,DeKalb,2329,226,641,412,5,1284,1284,
Pine Lake,DeKalb,632,246,137,70,0,453,453,
Rockbridge Elem,DeKalb,3595,314,952,506,11,1783,1783,
Rockbridge Road,DeKalb,3965,302,1481,959,6,2748,2748,
Rowland Road,DeKalb,2080,186,590,405,7,1188,1188,
Shaw-Robert Shaw Elem,DeKalb,2892,257,856,577,2,1692,1692,
Stone Mountain Elem,DeKalb,2338,162,525,583,3,1273,1273,
Stone Mtn Middle,DeKalb,3247,289,613,321,12,1235,1235,
Stone Mill Elem,DeKalb,3714,343,676,451,9,1479,1479,
Shadow Rock Elem,DeKalb,4347,289,1565,1004,5,2863,2863,
Shamrock,DeKalb,1600,139,472,480,4,1095,1095,
South Deshon,DeKalb,3470,259,1275,629,8,2171,2171,
Stone Mtn Champion,DeKalb,3098,303,776,468,7,1554,1554,
Stone Mtn,DeKalb,1711,184,380,314,1,879,879,
Stephenson Middle,DeKalb,3822,299,1394,784,0,2477,2477,
South Hairston,DeKalb,3814,353,1089,627,9,2078,2078,
Stephenson High,DeKalb,3555,266,1195,796,5,2262,2262,
Valley Brook,DeKalb,1037,124,307,244,6,681,681,
Wynbrooke Elem,DeKalb,3496,283,1323,809,7,2422,2422,
