Precinct,County,Registered Voters,Harold Dennis (Rep)_Election Day Votes,Harold Dennis (Rep)_Advanced Voting Votes,Harold Dennis (Rep)_Absentee by Mail Votes,Harold Dennis (Rep)_Provisional Votes,Harold Dennis (Rep)_Choice Total,Melody M. Maddox (I) (Dem)_Election Day Votes,Melody M. Maddox (I) (Dem)_Advanced Voting Votes,Melody M. Maddox (I) (Dem)_Absentee by Mail Votes,Melody M. Maddox (I) (Dem)_Provisional Votes,Melody M. Maddox (I) (Dem)_Choice Total,Total,
Allgood Elem,DeKalb,2858,39,70,60,1,170,232,877,596,3,1708,1878,
Ashford Park Elem,DeKalb,2432,193,549,166,0,908,102,504,381,1,988,1896,
Austin,DeKalb,2538,217,575,287,2,1081,77,523,438,1,1039,2120,
Avondale,DeKalb,2906,200,206,125,0,531,235,922,760,1,1918,2449,
Austin Drive,DeKalb,2536,21,41,28,2,92,187,613,454,13,1267,1359,
Ashford Dunwoody Rd,DeKalb,2966,193,625,215,3,1036,69,779,532,3,1383,2419,
Ashford Parkside,DeKalb,3664,178,606,274,1,1059,104,796,715,5,1620,2679,
Avondale High,DeKalb,3151,56,145,85,0,286,110,1107,917,4,2138,2424,
Boulevard,DeKalb,4675,50,175,88,1,314,242,1812,1174,3,3231,3545,
Briar Vista Elem,DeKalb,2965,120,202,132,1,455,151,783,800,0,1734,2189,
Briarlake Elem,DeKalb,1752,128,222,152,0,502,79,449,400,1,929,1431,
Briarwood,DeKalb,2428,119,392,123,1,635,105,584,407,2,1098,1733,
Brockett Elem,DeKalb,2752,71,279,179,0,529,141,726,509,7,1383,1912,
Briarcliff,DeKalb,3122,141,323,264,4,732,110,649,725,3,1487,2219,
Brockett,DeKalb,2681,151,249,128,3,531,166,682,489,5,1342,1873,
Brookhaven,DeKalb,3444,238,674,216,1,1129,150,844,573,1,1568,2697,
Browns Mill Elem,DeKalb,3829,13,54,35,0,102,310,1436,878,6,2630,2732,
