Precinct,County,Registered Voters,Billy Mitchell (I) (Dem)_Election Day Votes,Billy Mitchell (I) (Dem)_Advanced Voting Votes,Billy Mitchell (I) (Dem)_Absentee by Mail Votes,Billy Mitchell (I) (Dem)_Provisional Votes,Billy Mitchell (I) (Dem)_Choice Total,Total,
Crossroads,DeKalb,2898,49,111,52,0,212,212,
Embry Hills,DeKalb,1721,37,165,191,0,393,393,
Hugh Howell,DeKalb,1773,152,563,355,0,1070,1070,
Miller-Eldridge L Miller Elem 3455,DeKalb,305,950,705,4,1964,1964,,
Pleasantdale Road,DeKalb,4538,414,1057,466,4,1941,1941,
Panola,DeKalb,1586,136,472,326,0,934,934,
Rockbridge Elem,DeKalb,3595,3,6,3,1,13,13,
Redan Middle,DeKalb,2496,89,455,278,0,822,822,
Stone Mountain Elem,DeKalb,2338,157,520,583,3,1263,1263,
Smoke Rise,DeKalb,2108,143,663,504,1,1311,1311,
Stone Mtn Middle,DeKalb,3247,260,496,250,8,1014,1014,
Stone Mill Elem,DeKalb,3714,342,684,443,5,1474,1474,
Shadow Rock Elem,DeKalb,4347,291,1571,1012,4,2878,2878,
Stone Mtn Champion,DeKalb,3098,307,782,463,4,1556,1556,
Stone Mtn,DeKalb,1711,182,366,311,1,860,860,
Stephenson High,DeKalb,3555,261,1197,798,5,2261,2261,
Tucker Library,DeKalb,3506,139,1209,715,1,2064,2064,
Tucker,DeKalb,2932,72,358,137,1,568,568,
