Precinct,County,Registered Voters,Keith Cromartie_Election Day Votes,Keith Cromartie_Advanced Voting Votes,Keith Cromartie_Absentee by Mail Votes,Keith Cromartie_Provisional Votes,Keith Cromartie_Choice Total,Total,
Palmyra Methodist,Dougherty,2761,450,488,343,6,1287,1287,
Sherwood Elementary,Dougherty,3205,548,667,423,1,1639,1639,
Covenant Church,Dougherty,2334,483,433,286,2,1204,1204,
Greenbriar Church,Dougherty,3885,549,1133,740,6,2428,2428,
Westover High School,Dougherty,3394,543,922,553,0,2018,2018,
Merry Acres Middle,Dougherty,2432,451,552,339,9,1351,1351,
Darton College,Dougherty,4289,546,1036,651,6,2239,2239,
Westtown Elementary,Dougherty,3265,498,594,636,1,1729,1729,
2nd Mt Zion Church,Dougherty,1465,301,258,235,2,796,796,
Mt Zion Center,Dougherty,3638,511,495,566,2,1574,1574,
Alice Coachman Elementary,Dougherty,750,123,155,189,0,467,467,
Carver Teen Center,Dougherty,1667,216,142,226,2,586,586,
Shiloh Baptist Church,Dougherty,1510,244,164,203,0,611,611,
Litman Cathedral,Dougherty,1486,225,172,191,21,609,609,
Phoebe Healthworks,Dougherty,1574,204,159,180,1,544,544,
Turner Elementary,Dougherty,1205,113,67,65,6,251,251,
Jackson Heights Elementary,Dougherty,2549,348,282,327,0,957,957,
Bill Miller Center,Dougherty,2404,341,362,276,5,984,984,
Radium Middle School,Dougherty,693,133,124,95,0,352,352,
Putney 1st Baptist Church,Dougherty,2819,605,464,367,1,1437,1437,
International Studies,Dougherty,1042,156,212,194,1,563,563,
Phoebe East,Dougherty,2965,506,391,378,3,1278,1278,
Pine Bluff Baptist Church,Dougherty,2221,394,365,363,0,1122,1122,
Albany Middle School,Dougherty,1963,332,254,239,2,827,827,
Christ Church,Dougherty,1879,451,478,307,1,1237,1237,
Lamar Reese Elementary,Dougherty,1098,169,189,243,5,606,606,
1st Christian Church,Dougherty,1505,306,340,216,1,863,863,
Lovett Hall,Dougherty,1174,186,161,28,1,376,376,
