Precinct,County,Registered Voters,Camia Whitaker Hopson (I) (Dem)_Election Day Votes,Camia Whitaker Hopson (I) (Dem)_Advanced Voting Votes,Camia Whitaker Hopson (I) (Dem)_Absentee by Mail Votes,Camia Whitaker Hopson (I) (Dem)_Provisional Votes,Camia Whitaker Hopson (I) (Dem)_Choice Total,Total,
Palmyra Methodist,Dougherty,2761,417,461,329,8,1215,1215,
Sherwood Elementary,Dougherty,3205,537,660,405,0,1602,1602,
Covenant Church,Dougherty,2334,438,417,282,2,1139,1139,
Greenbriar Church,Dougherty,3885,499,1065,734,6,2304,2304,
Merry Acres Middle,Dougherty,2432,411,512,348,10,1281,1281,
Phoebe Healthworks,Dougherty,1574,200,167,185,1,553,553,
Turner Elementary,Dougherty,1205,118,71,68,6,263,263,
Jackson Heights Elementary,Dougherty,2549,384,313,364,0,1061,1061,
Bill Miller Center,Dougherty,2404,353,384,284,3,1024,1024,
International Studies,Dougherty,1042,153,215,196,1,565,565,
Phoebe East,Dougherty,2965,504,405,385,4,1298,1298,
Pine Bluff Baptist Church,Dougherty,2221,383,364,351,0,1098,1098,
Albany Middle School,Dougherty,1963,345,265,253,2,865,865,
1st Christian Church,Dougherty,1505,290,311,205,1,807,807,
Lovett Hall,Dougherty,1174,197,164,25,1,387,387,
