Precinct,County,Registered Voters,Donzella James (I) (Dem)_Election Day Votes,Donzella James (I) (Dem)_Advanced Voting Votes,Donzella James (I) (Dem)_Absentee by Mail Votes,Donzella James (I) (Dem)_Provisional Votes,Donzella James (I) (Dem)_Choice Total,Total,
Winston,Douglas,1911,184,508,213,1,906,906,
Atlanta West Pentecostal,Douglas,4076,428,1004,549,1,1982,1982,
Turner,Douglas,3847,391,901,539,0,1831,1831,
First Baptist Lithia Springs,Douglas,1966,192,405,283,5,885,885,
Lithia Springs High School,Douglas,6033,412,1989,1156,2,3559,3559,
Deer Lick,Douglas,3042,208,767,375,0,1350,1350,
Golden Methodist Church,Douglas,5634,481,1678,977,4,3140,3140,
Old Courthouse,Douglas,5675,395,1344,809,4,2552,2552,
Beulah Baptist Church,Douglas,3500,326,794,445,1,1566,1566,
Stewart,Douglas,3208,345,909,526,1,1781,1781,
Arbor Station,Douglas,2990,314,791,430,9,1544,1544,
Chapel Hill,Douglas,4016,314,1351,750,5,2420,2420,
Church At Chapel Hill,Douglas,6353,432,2142,1060,0,3634,3634,
Chestnut Log,Douglas,5177,345,1270,657,5,2277,2277,
St Julians Episcopal,Douglas,2253,210,457,340,0,1007,1007,
Lutheran Church-GS,Douglas,4149,279,1307,733,1,2320,2320,
First Baptist Douglasville,Douglas,2478,151,700,474,0,1325,1325,
Factory Shoals,Douglas,4359,271,1530,784,0,2585,2585,
Boundary Waters,Douglas,4220,274,1662,663,0,2599,2599,
