Precinct,County,Registered Voters,Joseph J. Davis (I)_Election Day Votes,Joseph J. Davis (I)_Advanced Voting Votes,Joseph J. Davis (I)_Absentee by Mail Votes,Joseph J. Davis (I)_Provisional Votes,Joseph J. Davis (I)_Choice Total,Total,
1A,Effingham,1965,422,686,151,1,1260,1260,
1B,Effingham,3005,655,944,241,1,1841,1841,
1C,Effingham,1446,459,321,101,0,881,881,
1D,Effingham,2031,557,570,140,0,1267,1267,
2A,Effingham,3038,671,1027,273,1,1972,1972,
2B,Effingham,3010,577,877,271,1,1726,1726,
2C,Effingham,4621,738,1640,450,3,2831,2831,
3A,Effingham,1398,336,437,112,0,885,885,
3B,Effingham,1553,333,452,122,0,907,907,
3C,Effingham,2060,335,759,145,1,1240,1240,
3D,Effingham,3125,536,1122,222,3,1883,1883,
4A,Effingham,3726,522,1355,294,2,2173,2173,
4B,Effingham,1888,262,590,165,0,1017,1017,
4C,Effingham,2837,459,984,230,0,1673,1673,
5A,Effingham,2924,481,1010,228,2,1721,1721,
5B,Effingham,3962,596,1265,317,1,2179,2179,
5C,Effingham,1684,278,569,159,2,1008,1008,
