Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
Oak Park,Emanuel,686,260,144,42,0,446,15,13,10,0,38,4,1,0,0,5,489,
Cross-Green,Emanuel,241,28,34,3,0,65,66,20,27,0,113,2,0,0,0,2,180,
Swainsboro,Emanuel,6988,620,1692,479,1,2792,398,798,470,0,1666,18,37,17,0,72,4530,
Summertown,Emanuel,504,151,102,32,0,285,26,23,29,0,78,0,2,0,0,2,365,
Stillmore,Emanuel,608,132,93,27,0,252,65,42,18,0,125,6,4,3,0,13,390,
Blundale,Emanuel,756,229,251,64,0,544,7,17,6,0,30,1,2,0,0,3,577,
Canoochee,Emanuel,681,239,127,31,0,397,31,43,22,0,96,2,3,1,0,6,499,
Garfield,Emanuel,489,195,75,24,0,294,29,24,22,0,75,5,0,0,0,5,374,
Nunez,Emanuel,384,124,78,20,0,222,23,18,7,0,48,3,1,0,0,4,274,
Twin City,Emanuel,1551,298,359,80,0,737,127,155,103,0,385,4,4,0,0,8,1130,
Adrian,Emanuel,827,234,155,90,0,479,27,26,13,0,66,6,3,5,1,15,560,
