Precinct,County,Registered Voters,Jamie Hensley (Rep)_Election Day Votes,Jamie Hensley (Rep)_Advanced Voting Votes,Jamie Hensley (Rep)_Absentee by Mail Votes,Jamie Hensley (Rep)_Provisional Votes,Jamie Hensley (Rep)_Choice Total,Total,
Colwell,Fannin,1105,292,324,148,0,764,764,
Fairplay,Fannin,1262,318,331,139,0,788,788,
Flinthill,Fannin,3202,681,848,395,1,1925,1925,
Hemptown,Fannin,1336,356,357,146,3,862,862,
Hothouse,Fannin,1290,273,391,165,7,836,836,
Mineral Bluff,Fannin,1817,352,610,269,0,1231,1231,
Mobile,Fannin,1160,316,305,146,0,767,767,
Morganton,Fannin,2067,483,611,268,2,1364,1364,
Noontootla,Fannin,839,186,245,162,0,593,593,
Skeniah,Fannin,331,120,69,53,2,244,244,
Sugar Creek,Fannin,2437,400,861,326,1,1588,1588,
Toccoa,Fannin,3553,516,1210,506,4,2236,2236,
