Precinct,County,Registered Voters,Scott A. Hollowell (I) (Rep)_Election Day Votes,Scott A. Hollowell (I) (Rep)_Advanced Voting Votes,Scott A. Hollowell (I) (Rep)_Absentee by Mail Votes,Scott A. Hollowell (I) (Rep)_Provisional Votes,Scott A. Hollowell (I) (Rep)_Choice Total,Total,
Shakerag West,Fayette,1236,63,567,173,1,804,804,
Whitewater,Fayette,3564,147,585,199,0,931,931,
Oak Grove,Fayette,1344,152,549,143,1,845,845,
Kedron,Fayette,4862,435,1831,601,2,2869,2869,
Aberdeen,Fayette,1805,160,757,212,0,1129,1129,
Windgate,Fayette,1011,141,415,105,2,663,663,
Flat Creek,Fayette,2117,230,697,267,3,1197,1197,
Braelinn,Fayette,1876,206,870,264,1,1341,1341,
Fielding Ridge,Fayette,3497,321,1538,420,0,2279,2279,
Willowbend,Fayette,2007,178,852,230,0,1260,1260,
Camp Creek,Fayette,1895,183,826,246,2,1257,1257,
