Precinct,County,Registered Voters,Donald J. Trump (I) (Rep)_Election Day Votes,Donald J. Trump (I) (Rep)_Advanced Voting Votes,Donald J. Trump (I) (Rep)_Absentee by Mail Votes,Donald J. Trump (I) (Rep)_Provisional Votes,Donald J. Trump (I) (Rep)_Choice Total,Joseph R. Biden (Dem)_Election Day Votes,Joseph R. Biden (Dem)_Advanced Voting Votes,Joseph R. Biden (Dem)_Absentee by Mail Votes,Joseph R. Biden (Dem)_Provisional Votes,Joseph R. Biden (Dem)_Choice Total,Jo Jorgensen (Lib)_Election Day Votes,Jo Jorgensen (Lib)_Advanced Voting Votes,Jo Jorgensen (Lib)_Absentee by Mail Votes,Jo Jorgensen (Lib)_Provisional Votes,Jo Jorgensen (Lib)_Choice Total,Total,
Blackrock,Fayette,2699,82,307,204,5,598,146,849,490,5,1490,3,5,5,0,13,2101,
Brooks,Fayette,2567,529,976,286,2,1793,44,131,168,0,343,6,5,8,0,19,2155,
Europe,Fayette,3310,53,180,87,3,323,197,1224,778,12,2211,7,9,10,0,26,2560,
Fayetteville East,Fayette,2147,75,333,157,3,568,104,517,289,5,915,9,8,9,0,26,1509,
Fayetteville West,Fayette,2362,120,446,166,0,732,94,567,322,1,984,8,13,3,0,24,1740,
Flint,Fayette,1732,128,231,119,0,478,87,503,235,0,825,9,6,7,0,22,1325,
Hopeful,Fayette,2309,150,373,105,0,628,154,547,368,1,1070,5,11,6,0,22,1720,
Morning Creek,Fayette,3059,114,524,281,1,920,145,754,515,1,1415,4,16,5,0,25,2360,
Rareover,Fayette,3045,140,1187,198,3,1528,61,563,200,0,824,11,34,3,0,48,2400,
Sandy Creek,Fayette,4848,146,957,232,3,1338,169,1490,590,3,2252,5,28,7,0,40,3630,
Shakerag East,Fayette,1689,179,471,124,1,775,70,248,152,1,471,11,7,2,0,20,1266,
Shakerag West,Fayette,1236,49,465,119,1,634,24,223,169,1,417,4,15,2,0,21,1072,
Starrsmill,Fayette,3572,377,1138,370,0,1885,93,300,260,0,653,18,11,5,0,34,2572,
Whitewater,Fayette,3564,285,1253,357,4,1899,94,545,351,7,997,8,16,16,0,40,2936,
Woolsey,Fayette,2542,324,920,339,0,1583,53,203,220,0,476,10,8,2,0,20,2079,
McIntosh,Fayette,3323,189,1116,314,1,1620,72,568,366,1,1007,7,15,6,0,28,2655,
Oak Grove,Fayette,1344,128,413,99,0,640,61,228,121,2,412,3,12,2,0,17,1069,
Kedron,Fayette,4862,319,1332,339,1,1991,195,959,574,3,1731,16,32,17,0,65,3787,
Aberdeen,Fayette,1805,127,598,161,0,886,54,296,138,0,488,6,8,5,0,19,1393,
Windgate,Fayette,1011,117,313,64,2,496,28,166,86,0,280,14,15,4,0,33,809,
Flat Creek,Fayette,2117,150,519,208,2,879,104,330,185,2,621,14,16,4,0,34,1534,
Braelinn,Fayette,1876,171,759,183,1,1114,47,203,137,0,387,4,8,8,1,21,1522,
Kenwood,Fayette,1014,48,72,35,0,155,93,312,218,2,625,6,3,2,0,11,791,
Banks,Fayette,1624,126,271,170,0,567,106,308,229,0,643,4,4,4,0,12,1222,
Harps Crossing,Fayette,1646,146,476,179,2,803,61,249,167,1,478,7,5,3,0,15,1296,
Willow Pond,Fayette,3100,209,723,229,5,1166,113,638,434,3,1188,8,9,16,1,34,2388,
Dogwood,Fayette,3092,223,1003,290,3,1519,85,559,326,0,970,7,17,7,0,31,2520,
Oak Ridge,Fayette,2225,129,336,176,2,643,120,505,407,6,1038,2,5,6,0,13,1694,
Jeff Davis,Fayette,2876,78,397,185,4,664,120,758,414,7,1299,7,8,0,0,15,1978,
Murphy,Fayette,3224,151,735,299,4,1189,110,727,452,1,1290,7,21,8,0,36,2515,
Fielding Ridge,Fayette,3497,252,1189,236,0,1677,108,614,383,0,1105,14,25,7,0,46,2828,
Willowbend,Fayette,2007,144,669,154,0,967,61,320,173,0,554,5,12,10,0,27,1548,
Camp Creek,Fayette,1895,164,686,170,1,1021,39,271,178,1,489,2,14,7,0,23,1533,
Rising Star,Fayette,3833,359,1624,336,1,2320,91,634,341,2,1068,8,22,17,0,47,3435,
Spring Hill,Fayette,3299,127,712,244,0,1083,94,849,508,2,1453,9,12,3,0,24,2560,
Antioch,Fayette,1956,244,458,167,1,870,103,285,208,0,596,11,8,6,0,25,1491,
