Precinct,County,Registered Voters,Sheila Jones (I) (Dem)_Election Day Votes,Sheila Jones (I) (Dem)_Advanced Voting Votes,Sheila Jones (I) (Dem)_Absentee by Mail Votes,Sheila Jones (I) (Dem)_Provisional Votes,Sheila Jones (I) (Dem)_Choice Total,Total,
08E,Fulton,2568,84,782,486,0,1352,1352,
09A,Fulton,3856,193,1529,577,9,2308,2308,
09B,Fulton,464,30,77,68,0,175,175,
09C,Fulton,3353,261,866,460,25,1612,1612,
09D,Fulton,2299,220,432,286,9,947,947,
09E,Fulton,3261,275,946,314,2,1537,1537,
09F,Fulton,3917,167,1453,663,4,2287,2287,
09K,Fulton,4002,267,875,472,11,1625,1625,
09K1,Fulton,1518,112,319,40,1,472,472,
09M,Fulton,2578,102,1206,347,0,1655,1655,
10D,Fulton,4968,313,1140,533,147,2133,2133,
10E,Fulton,1084,93,303,185,3,584,584,
10F,Fulton,1208,115,300,198,13,626,626,
10H1,Fulton,439,30,148,79,14,271,271,
10P,Fulton,1607,148,334,239,2,723,723,
10R,Fulton,928,98,199,84,9,390,390,
