Precinct,County,Registered Voters,Stacey Evans (Dem)_Election Day Votes,Stacey Evans (Dem)_Advanced Voting Votes,Stacey Evans (Dem)_Absentee by Mail Votes,Stacey Evans (Dem)_Provisional Votes,Stacey Evans (Dem)_Choice Total,Total,
02A,Fulton,4884,178,1886,1053,17,3134,3134,
02A1,Fulton,733,31,304,51,2,388,388,
02B,Fulton,4020,180,806,290,22,1298,1298,
02L1,Fulton,5546,200,2119,1252,11,3582,3582,
02L1A,Fulton,1477,78,563,79,5,725,725,
04B,Fulton,2948,126,421,209,0,756,756,
04G,Fulton,1025,121,194,78,0,393,393,
04I,Fulton,4604,79,457,171,6,713,713,
04K,Fulton,2736,202,713,354,7,1276,1276,
04S,Fulton,2541,266,621,309,8,1204,1204,
04T,Fulton,1297,137,350,160,20,667,667,
04V,Fulton,3573,375,723,238,3,1339,1339,
04W,Fulton,3365,57,132,27,6,222,222,
04X1,Fulton,2283,167,608,264,2,1041,1041,
05D,Fulton,541,21,59,9,0,89,89,
06D,Fulton,6160,329,2189,2028,8,4554,4554,
06D1,Fulton,2539,70,998,158,2,1228,1228,
06D2,Fulton,850,24,327,52,1,404,404,
06J,Fulton,2770,96,1072,729,1,1898,1898,
10I,Fulton,331,13,154,91,0,258,258,
10K,Fulton,1614,109,562,298,5,974,974,
10M,Fulton,2880,249,870,417,11,1547,1547,
11H,Fulton,753,52,186,136,2,376,376,
12K,Fulton,3620,206,959,362,2,1529,1529,
