Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
01A,Fulton,3694,160,1445,615,22,2242,42,322,129,4,497,2739,
01B,Fulton,4327,232,1577,746,4,2559,78,374,169,2,623,3182,
01C,Fulton,1908,157,313,131,0,601,44,67,35,0,146,747,
01D,Fulton,754,24,248,105,8,385,6,43,20,0,69,454,
01E,Fulton,3720,104,1378,690,0,2172,34,290,131,1,456,2628,
01F,Fulton,1593,106,229,85,6,426,20,37,24,0,81,507,
01G,Fulton,2312,121,631,235,3,990,26,146,61,1,234,1224,
01H,Fulton,896,59,164,99,4,326,9,42,20,2,73,399,
01I,Fulton,1,0,1,0,0,1,0,0,0,0,0,1,
01J,Fulton,2848,183,619,252,9,1063,55,120,73,6,254,1317,
01P,Fulton,1444,166,181,140,3,490,43,37,32,1,113,603,
01R,Fulton,1550,167,108,88,11,374,43,37,33,3,116,490,
01S,Fulton,2118,194,382,160,7,743,51,105,40,0,196,939,
01T,Fulton,1799,141,391,145,4,681,47,89,45,0,181,862,
02A,Fulton,4884,167,1538,862,16,2583,49,529,320,6,904,3487,
02A1,Fulton,733,31,253,46,2,332,9,77,4,1,91,423,
02B,Fulton,4020,152,674,236,26,1088,52,177,61,4,294,1382,
02C,Fulton,2034,71,572,316,32,991,25,159,75,4,263,1254,
02D,Fulton,5539,238,1649,902,22,2811,71,428,184,14,697,3508,
02E,Fulton,2009,89,761,397,0,1247,42,184,67,0,293,1540,
02F1,Fulton,3221,92,1121,642,5,1860,41,252,122,1,416,2276,
02F2,Fulton,851,44,224,106,3,377,15,54,29,1,99,476,
02G,Fulton,3895,175,1392,648,4,2219,66,361,135,2,564,2783,
02J,Fulton,2273,91,740,360,8,1199,31,206,97,3,337,1536,
02K,Fulton,1461,44,513,231,0,788,22,139,68,0,229,1017,
02L1,Fulton,5546,197,1743,1041,7,2988,63,545,346,4,958,3946,
02L1A,Fulton,1477,69,457,66,3,595,23,145,26,3,197,792,
02L2,Fulton,2249,114,726,290,4,1134,30,206,97,2,335,1469,
02S,Fulton,790,35,243,104,0,382,18,48,31,0,97,479,
02W,Fulton,978,55,331,106,0,492,11,87,30,0,128,620,
03A,Fulton,2230,113,306,154,13,586,31,83,70,8,192,778,
03B,Fulton,777,48,82,46,0,176,13,18,19,0,50,226,
03C,Fulton,1879,115,281,166,6,568,31,56,60,0,147,715,
03D,Fulton,1235,75,186,88,18,367,13,40,18,4,75,442,
03E,Fulton,2894,237,395,168,35,835,66,97,51,7,221,1056,
03F,Fulton,2328,116,723,298,3,1140,36,188,79,0,303,1443,
03G,Fulton,1033,70,110,30,3,213,12,41,13,1,67,280,
03H,Fulton,1091,68,193,62,1,324,20,26,27,0,73,397,
03I,Fulton,1607,85,310,111,15,521,26,55,13,6,100,621,
03L,Fulton,748,49,74,29,0,152,19,20,13,0,52,204,
03M,Fulton,965,142,205,73,2,422,40,61,19,0,120,542,
03N,Fulton,2804,189,383,126,19,717,40,88,27,6,161,878,
03P1A,Fulton,4404,236,1165,441,8,1850,61,313,127,3,504,2354,
03P2,Fulton,23,0,6,0,0,6,0,1,0,0,1,7,
03S,Fulton,908,77,152,80,0,309,23,47,22,0,92,401,
03T,Fulton,1742,128,384,99,4,615,25,112,35,0,172,787,
04A,Fulton,1554,84,268,130,0,482,19,54,31,0,104,586,
04B,Fulton,2948,93,340,154,0,587,29,83,42,0,154,741,
04C,Fulton,150,5,25,9,1,40,6,2,3,0,11,51,
04D,Fulton,1736,126,375,159,5,665,35,82,31,0,148,813,
04F,Fulton,2786,164,636,167,8,975,37,169,45,2,253,1228,
04G,Fulton,1025,92,129,65,0,286,26,56,17,0,99,385,
04I,Fulton,4604,64,381,140,3,588,23,97,42,3,165,753,
04J,Fulton,1617,39,92,19,9,159,9,18,2,1,30,189,
04K,Fulton,2736,159,553,309,12,1033,40,153,49,2,244,1277,
04L,Fulton,2014,153,468,169,5,795,29,102,32,0,163,958,
04M,Fulton,979,84,121,58,4,267,21,35,11,1,68,335,
04S,Fulton,2541,209,477,236,8,930,61,131,54,1,247,1177,
04T,Fulton,1297,97,274,117,16,504,32,69,38,3,142,646,
04V,Fulton,3573,300,585,180,4,1069,74,127,45,0,246,1315,
04W,Fulton,3365,51,121,26,7,205,6,11,1,0,18,223,
04X1,Fulton,2283,130,483,209,2,824,41,121,54,0,216,1040,
04X2,Fulton,846,51,197,77,0,325,10,47,22,0,79,404,
05A1,Fulton,2936,112,1104,519,1,1736,39,216,120,1,376,2112,
05A2,Fulton,3343,119,1235,515,10,1879,40,281,112,2,435,2314,
05B,Fulton,2171,140,492,215,2,849,37,122,46,1,206,1055,
05C,Fulton,135,6,26,6,0,38,1,2,2,0,5,43,
05D,Fulton,541,21,48,8,2,79,1,9,1,0,11,90,
05F,Fulton,248,18,75,21,0,114,6,14,2,1,23,137,
05J,Fulton,684,32,230,108,1,371,10,53,26,0,89,460,
05K,Fulton,2826,124,606,217,5,952,31,124,51,1,207,1159,
06B,Fulton,1889,82,680,331,6,1099,26,164,82,1,273,1372,
06D,Fulton,6160,296,1901,1746,9,3952,80,542,475,2,1099,5051,
