Precinct,County,Registered Voters,Amy E. Johnson (I) (Rep)_Election Day Votes,Amy E. Johnson (I) (Rep)_Advanced Voting Votes,Amy E. Johnson (I) (Rep)_Absentee by Mail Votes,Amy E. Johnson (I) (Rep)_Provisional Votes,Amy E. Johnson (I) (Rep)_Choice Total,Total,
Ellijay South,Gilmer,3172,391,1167,392,2,1952,1952,
Cartecay,Gilmer,1598,412,481,206,2,1101,1101,
Tails Creek,Gilmer,1782,465,478,147,0,1090,1090,
Town Creek,Gilmer,1234,316,336,109,0,761,761,
Leaches,Gilmer,2939,554,977,342,1,1874,1874,
Cherry Log,Gilmer,926,267,236,118,0,621,621,
Boardtown,Gilmer,1391,298,514,209,3,1024,1024,
Mountaintown,Gilmer,1139,280,369,130,1,780,780,
East Ellijay,Gilmer,1655,252,636,220,0,1108,1108,
Ellijay North,Gilmer,1810,284,612,207,1,1104,1104,
Yukon,Gilmer,1288,363,357,122,0,842,842,
Big Creek,Gilmer,1479,372,407,193,0,972,972,
Ellijay Northeast,Gilmer,1851,243,718,228,0,1189,1189,
