Precinct,County,Registered Voters,B. Alison Sosebee (I) (Rep)_Election Day Votes,B. Alison Sosebee (I) (Rep)_Advanced Voting Votes,B. Alison Sosebee (I) (Rep)_Absentee by Mail Votes,B. Alison Sosebee (I) (Rep)_Provisional Votes,B. Alison Sosebee (I) (Rep)_Choice Total,Total,
Ellijay South,Gilmer,3172,391,1163,390,2,1946,1946,
Cartecay,Gilmer,1598,402,474,200,2,1078,1078,
Tails Creek,Gilmer,1782,459,470,146,0,1075,1075,
Town Creek,Gilmer,1234,317,334,107,0,758,758,
Leaches,Gilmer,2939,544,976,341,2,1863,1863,
Cherry Log,Gilmer,926,268,239,119,0,626,626,
Boardtown,Gilmer,1391,305,508,209,3,1025,1025,
Mountaintown,Gilmer,1139,277,365,132,1,775,775,
East Ellijay,Gilmer,1655,246,639,221,0,1106,1106,
Ellijay North,Gilmer,1810,289,605,201,1,1096,1096,
Yukon,Gilmer,1288,357,359,122,0,838,838,
Big Creek,Gilmer,1479,372,409,194,0,975,975,
Ellijay Northeast,Gilmer,1851,237,715,223,0,1175,1175,
