Precinct,County,Registered Voters,C. Teeple Hill (Rep)_Election Day Votes,C. Teeple Hill (Rep)_Advanced Voting Votes,C. Teeple Hill (Rep)_Absentee by Mail Votes,C. Teeple Hill (Rep)_Provisional Votes,C. Teeple Hill (Rep)_Choice Total,Total,
Sterling Elementary,Glynn,4578,467,1628,454,2,2551,2551,
Brookman,Glynn,3460,439,1244,284,3,1970,1970,
Satilla Marshes,Glynn,2824,349,1034,291,0,1674,1674,
Blythe Island Baptist,Glynn,2529,291,1034,264,2,1591,1591,
Christian Renewal,Glynn,3699,302,1594,529,3,2428,2428,
Hampton River,Glynn,2823,231,1287,435,2,1955,1955,
St William Catholic Church,Glynn,4333,306,2000,559,2,2867,2867,
First Baptist,Glynn,4316,331,1844,562,1,2738,2738,
Jekyll Island,Glynn,774,224,105,103,2,434,434,
Sterling Church of God,Glynn,3925,442,1294,312,3,2051,2051,
SE Baptist Bldg,Glynn,2109,251,669,175,1,1096,1096,
Career Academy,Glynn,2960,349,982,324,3,1658,1658,
C B Greer School,Glynn,3288,353,1116,344,2,1815,1815,
Ballard,Glynn,3286,263,989,333,4,1589,1589,
Northside Baptist,Glynn,3313,281,691,331,0,1303,1303,
The Chapel,Glynn,2971,196,602,258,1,1057,1057,
College Place UMC,Glynn,2367,175,519,233,0,927,927,
Howard Coffin Park,Glynn,3320,240,573,274,0,1087,1087,
Urbana-Perry Parks,Glynn,3638,206,369,218,1,794,794,
Selden Park,Glynn,1439,90,204,87,1,382,382,
