Precinct,County,Registered Voters,David Post (Rep)_Election Day Votes,David Post (Rep)_Advanced Voting Votes,David Post (Rep)_Absentee by Mail Votes,David Post (Rep)_Provisional Votes,David Post (Rep)_Choice Total,Nicole Love Hendrickson (Dem)_Election Day Votes,Nicole Love Hendrickson (Dem)_Advanced Voting Votes,Nicole Love Hendrickson (Dem)_Absentee by Mail Votes,Nicole Love Hendrickson (Dem)_Provisional Votes,Nicole Love Hendrickson (Dem)_Choice Total,Total,
HARBINS A,Gwinnett,7182,374,1527,502,1,2404,328,1557,871,5,2761,5165,
ROCKBRIDGE A,Gwinnett,3987,108,271,169,0,548,257,1281,636,1,2175,2723,
DACULA,Gwinnett,4777,243,929,257,1,1430,241,1093,595,1,1930,3360,
SUWANEE A,Gwinnett,1737,117,299,138,0,554,97,369,196,1,663,1217,
BAYCREEK A,Gwinnett,2720,235,545,315,0,1095,142,500,357,0,999,2094,
GOODWINS A,Gwinnett,3921,284,556,238,1,1079,261,784,537,1,1583,2662,
DULUTH A,Gwinnett,5042,234,901,460,2,1597,207,1016,904,0,2127,3724,
DUNCANS A,Gwinnett,4729,351,1536,488,2,2377,124,729,471,0,1324,3701,
PUCKETTS A,Gwinnett,5692,318,1978,642,1,2939,150,816,493,0,1459,4398,
CATES A,Gwinnett,2387,174,471,306,1,952,110,352,293,1,756,1708,
BERKSHIRE A,Gwinnett,2555,179,222,127,0,528,255,434,316,2,1007,1535,
BERKSHIRE B,Gwinnett,5338,120,524,334,3,981,293,1373,849,4,2519,3500,
DUNCANS C,Gwinnett,3040,319,1013,296,1,1629,95,431,278,0,804,2433,
GARNERS A,Gwinnett,3520,205,798,423,1,1427,130,690,455,1,1276,2703,
LAWRENCEVILLE A,Gwinnett,3635,179,481,271,0,931,230,632,386,4,1252,2183,
LAWRENCEVILLE B,Gwinnett,5097,138,616,294,1,1049,210,1476,704,2,2392,3441,
MARTINS A,Gwinnett,3303,131,213,127,1,472,320,774,404,4,1502,1974,
MARTINS B,Gwinnett,3001,119,337,176,0,632,280,642,355,2,1279,1911,
MARTINS C,Gwinnett,2549,169,310,188,1,668,228,508,348,5,1089,1757,
PINCKNEYVILLE A,Gwinnett,2791,114,146,75,2,337,325,602,348,5,1280,1617,
PINCKNEYVILLE B,Gwinnett,3485,120,242,143,2,507,290,743,367,4,1404,1911,
PINCKNEYVILLE C,Gwinnett,2082,257,284,270,1,812,112,332,347,4,795,1607,
PINCKNEYVILLE D,Gwinnett,2264,78,135,77,1,291,260,442,220,4,926,1217,
SUGAR HILL A,Gwinnett,4654,398,864,342,2,1606,248,638,455,3,1344,2950,
SUGAR HILL B,Gwinnett,5596,501,1179,427,10,2117,290,919,569,4,1782,3899,
HOG MOUNTAIN A,Gwinnett,5011,311,724,317,1,1353,321,1083,630,1,2035,3388,
HOG MOUNTAIN B,Gwinnett,4583,384,1045,435,3,1867,181,770,634,2,1587,3454,
ROCKYCREEK A,Gwinnett,5939,473,1457,402,0,2332,265,1147,644,3,2059,4391,
CATES B,Gwinnett,1587,143,333,181,1,658,84,231,187,1,503,1161,
CATES C,Gwinnett,2903,173,305,194,1,673,183,771,419,2,1375,2048,
HOG MOUNTAIN D,Gwinnett,3179,280,681,245,1,1207,147,478,399,1,1025,2232,
BERKSHIRE D,Gwinnett,2945,148,491,317,1,957,112,608,498,3,1221,2178,
BERKSHIRE E,Gwinnett,1997,162,457,206,0,825,78,349,288,1,716,1541,
BERKSHIRE F,Gwinnett,2254,170,213,160,0,543,186,378,306,1,871,1414,
CATES D,Gwinnett,3755,228,626,338,0,1192,188,819,558,1,1566,2758,
CATES E,Gwinnett,2942,216,569,316,1,1102,145,588,471,1,1205,2307,
PINCKNEYVILLE E,Gwinnett,2184,104,103,61,3,271,233,492,275,6,1006,1277,
PINCKNEYVILLE F,Gwinnett,2546,108,226,116,0,450,236,468,323,2,1029,1479,
DUNCANS D,Gwinnett,7153,612,2084,729,3,3428,283,957,695,0,1935,5363,
PINCKNEYVILLE H,Gwinnett,4536,330,739,451,0,1520,230,868,785,2,1885,3405,
BAYCREEK B,Gwinnett,5969,270,635,284,2,1191,425,1734,793,7,2959,4150,
LAWRENCEVILLE C,Gwinnett,3037,298,604,277,0,1179,130,491,330,1,952,2131,
MARTINS D,Gwinnett,2402,97,121,92,2,312,264,452,296,1,1013,1325,
ROCKBRIDGE B,Gwinnett,4177,135,324,176,0,635,301,1166,591,1,2059,2694,
GARNERS B,Gwinnett,3178,115,396,222,5,738,184,851,470,1,1506,2244,
CATES F,Gwinnett,1787,209,322,232,0,763,107,288,220,2,617,1380,
CATES G,Gwinnett,2875,205,684,390,0,1279,116,515,406,0,1037,2316,
DULUTH B,Gwinnett,3551,257,537,361,3,1158,192,526,542,1,1261,2419,
