Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
HARBINS A,Gwinnett,7182,564,2234,934,8,3740,142,820,342,1,1305,5045,
ROCKBRIDGE A,Gwinnett,3987,283,1219,560,1,2063,78,321,213,0,612,2675,
DACULA,Gwinnett,4777,387,1473,632,2,2494,96,521,174,0,791,3285,
SUWANEE A,Gwinnett,1737,156,526,232,1,915,52,134,85,0,271,1186,
BAYCREEK A,Gwinnett,2720,276,782,506,0,1564,102,260,129,0,491,2055,
GOODWINS A,Gwinnett,3921,414,1029,565,1,2009,144,311,194,1,650,2659,
DULUTH A,Gwinnett,5042,345,1427,1015,1,2788,108,472,291,1,872,3660,
DUNCANS A,Gwinnett,4729,360,1577,714,1,2652,122,672,219,1,1014,3666,
PUCKETTS A,Gwinnett,5692,344,1962,795,0,3101,120,791,294,1,1206,4307,
CATES A,Gwinnett,2387,208,597,407,1,1213,76,216,146,0,438,1651,
BERKSHIRE A,Gwinnett,2555,333,534,303,0,1170,96,119,98,1,314,1484,
BERKSHIRE B,Gwinnett,5338,321,1498,870,5,2694,88,382,241,2,713,3407,
DUNCANS C,Gwinnett,3040,290,1002,414,1,1707,128,427,139,0,694,2401,
GARNERS A,Gwinnett,3520,255,1105,676,1,2037,82,375,163,0,620,2657,
LAWRENCEVILLE A,Gwinnett,3635,319,832,465,3,1619,98,273,137,0,508,2127,
LAWRENCEVILLE B,Gwinnett,5097,273,1644,699,3,2619,81,443,248,0,772,3391,
MARTINS A,Gwinnett,3303,381,826,375,5,1587,76,162,118,1,357,1944,
MARTINS B,Gwinnett,3001,316,789,390,0,1495,84,189,106,1,380,1875,
MARTINS C,Gwinnett,2549,288,616,393,3,1300,106,191,111,1,409,1709,
PINCKNEYVILLE A,Gwinnett,2791,360,601,316,2,1279,78,136,82,3,299,1578,
PINCKNEYVILLE B,Gwinnett,3485,327,818,386,6,1537,85,157,100,0,342,1879,
PINCKNEYVILLE C,Gwinnett,2082,251,461,471,3,1186,113,150,130,1,394,1580,
PINCKNEYVILLE D,Gwinnett,2264,298,461,232,5,996,46,107,53,0,206,1202,
SUGAR HILL A,Gwinnett,4654,531,1175,599,4,2309,126,317,159,0,602,2911,
SUGAR HILL B,Gwinnett,5596,577,1548,701,9,2835,214,545,252,6,1017,3852,
HOG MOUNTAIN A,Gwinnett,5011,495,1427,740,2,2664,143,365,161,0,669,3333,
HOG MOUNTAIN B,Gwinnett,4583,390,1263,729,3,2385,167,542,284,1,994,3379,
ROCKYCREEK A,Gwinnett,5939,522,1904,733,3,3162,213,678,264,0,1155,4317,
CATES B,Gwinnett,1587,173,437,272,2,884,54,128,83,0,265,1149,
CATES C,Gwinnett,2903,258,838,447,1,1544,93,236,144,2,475,2019,
HOG MOUNTAIN D,Gwinnett,3179,301,836,471,1,1609,128,307,148,1,584,2193,
BERKSHIRE D,Gwinnett,2945,192,842,647,3,1684,76,238,141,1,456,2140,
