Precinct,County,Registered Voters,Jason Shaw (I) (Rep)_Election Day Votes,Jason Shaw (I) (Rep)_Advanced Voting Votes,Jason Shaw (I) (Rep)_Absentee by Mail Votes,Jason Shaw (I) (Rep)_Provisional Votes,Jason Shaw (I) (Rep)_Choice Total,Robert G. Bryant (Dem)_Election Day Votes,Robert G. Bryant (Dem)_Advanced Voting Votes,Robert G. Bryant (Dem)_Absentee by Mail Votes,Robert G. Bryant (Dem)_Provisional Votes,Robert G. Bryant (Dem)_Choice Total,Elizabeth Melton (Lib)_Election Day Votes,Elizabeth Melton (Lib)_Advanced Voting Votes,Elizabeth Melton (Lib)_Absentee by Mail Votes,Elizabeth Melton (Lib)_Provisional Votes,Elizabeth Melton (Lib)_Choice Total,Total,
HARBINS A,Gwinnett,7182,352,1489,495,2,2338,296,1497,822,3,2618,59,98,53,2,212,5168,
ROCKBRIDGE A,Gwinnett,3987,104,263,156,0,523,242,1246,623,1,2112,17,41,32,0,90,2725,
DACULA,Gwinnett,4777,227,891,239,1,1358,223,1052,591,0,1866,34,79,24,1,138,3362,
SUWANEE A,Gwinnett,1737,114,294,132,0,540,86,341,188,0,615,15,35,14,1,65,1220,
BAYCREEK A,Gwinnett,2720,233,541,307,0,1081,119,467,348,0,934,31,41,19,0,91,2106,
GOODWINS A,Gwinnett,3921,270,536,225,1,1032,234,748,512,1,1495,49,63,39,0,151,2678,
DULUTH A,Gwinnett,5042,233,867,441,1,1542,191,967,894,1,2053,31,79,48,0,158,3753,
DUNCANS A,Gwinnett,4729,348,1515,473,1,2337,111,689,454,0,1254,23,71,33,1,128,3719,
PUCKETTS A,Gwinnett,5692,306,1937,643,1,2887,122,771,467,0,1360,43,91,35,0,169,4416,
CATES A,Gwinnett,2387,160,459,304,0,923,97,327,281,1,706,27,34,13,0,74,1703,
BERKSHIRE A,Gwinnett,2555,160,221,115,0,496,241,412,309,2,964,29,21,23,0,73,1533,
BERKSHIRE B,Gwinnett,5338,113,502,336,3,954,276,1328,824,5,2433,27,88,40,0,155,3542,
DUNCANS C,Gwinnett,3040,324,1009,294,1,1628,80,396,267,0,743,16,46,19,0,81,2452,
GARNERS A,Gwinnett,3520,196,769,423,1,1389,119,662,428,1,1210,25,66,29,1,121,2720,
LAWRENCEVILLE A,Gwinnett,3635,170,478,274,1,923,211,598,364,3,1176,32,36,24,0,92,2191,
LAWRENCEVILLE B,Gwinnett,5097,130,604,284,2,1020,197,1422,691,0,2310,24,73,24,1,122,3452,
MARTINS A,Gwinnett,3303,121,215,121,2,459,299,740,397,3,1439,37,38,17,1,93,1991,
MARTINS B,Gwinnett,3001,114,327,176,0,617,253,599,347,2,1201,33,50,14,0,97,1915,
MARTINS C,Gwinnett,2549,168,307,205,1,681,214,479,318,5,1016,18,35,13,0,66,1763,
PINCKNEYVILLE A,Gwinnett,2791,107,139,77,3,326,305,574,336,5,1220,26,29,12,0,67,1613,
PINCKNEYVILLE B,Gwinnett,3485,113,237,136,2,488,269,725,363,4,1361,34,37,17,1,89,1938,
PINCKNEYVILLE C,Gwinnett,2082,247,277,266,1,791,107,315,338,4,764,17,28,22,0,67,1622,
PINCKNEYVILLE D,Gwinnett,2264,71,137,73,2,283,251,408,211,2,872,23,27,15,1,66,1221,
SUGAR HILL A,Gwinnett,4654,382,836,335,2,1555,224,616,436,3,1279,49,53,23,0,125,2959,
SUGAR HILL B,Gwinnett,5596,487,1142,402,12,2043,255,881,541,4,1681,51,86,64,0,201,3925,
HOG MOUNTAIN A,Gwinnett,5011,298,713,313,1,1325,296,1025,609,1,1931,48,71,30,0,149,3405,
HOG MOUNTAIN B,Gwinnett,4583,376,1022,426,3,1827,162,726,616,2,1506,29,69,32,0,130,3463,
ROCKYCREEK A,Gwinnett,5939,444,1463,398,0,2305,249,1071,616,3,1939,48,87,33,0,168,4412,
CATES B,Gwinnett,1587,129,320,188,1,638,77,218,173,1,469,23,28,7,0,58,1165,
