Precinct,County,Registered Voters,Johsie Cruz Ezammudeen (Rep)_Election Day Votes,Johsie Cruz Ezammudeen (Rep)_Advanced Voting Votes,Johsie Cruz Ezammudeen (Rep)_Absentee by Mail Votes,Johsie Cruz Ezammudeen (Rep)_Provisional Votes,Johsie Cruz Ezammudeen (Rep)_Choice Total,"Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Election Day Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Advanced Voting Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Absentee by Mail Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Provisional Votes","Henry C. """"Hank"""" Johnson, Jr. (I) (Dem)_Choice Total",Total,
ROCKBRIDGE A,Gwinnett,3987,96,266,150,0,512,261,1268,653,0,2182,2694,
BERKSHIRE B,Gwinnett,5338,121,509,298,1,929,284,1368,885,4,2541,3470,
GARNERS A,Gwinnett,3520,196,756,392,1,1345,142,734,489,1,1366,2711,
PINCKNEYVILLE B,Gwinnett,3485,114,253,129,0,496,285,727,384,1,1397,1893,
CATES C,Gwinnett,2903,166,307,173,1,647,183,768,426,1,1378,2025,
BERKSHIRE D,Gwinnett,2945,144,488,294,1,927,115,602,516,2,1235,2162,
BERKSHIRE E,Gwinnett,1997,156,440,186,0,782,84,361,303,1,749,1531,
CATES D,Gwinnett,3755,191,509,244,0,944,156,683,493,0,1332,2276,
CATES E,Gwinnett,2942,216,549,294,1,1060,145,603,495,0,1243,2303,
BAYCREEK B,Gwinnett,5969,262,622,258,3,1145,423,1735,810,5,2973,4118,
ROCKBRIDGE B,Gwinnett,4177,133,323,157,0,613,298,1137,602,1,2038,2651,
GARNERS B,Gwinnett,3178,112,384,201,4,701,184,841,484,1,1510,2211,
GARNERS C,Gwinnett,2030,126,280,129,0,535,129,453,269,2,853,1388,
PINCKNEYVILLE J,Gwinnett,2613,72,128,59,0,259,262,616,277,2,1157,1416,
BERKSHIRE G,Gwinnett,2419,152,489,226,0,867,122,551,312,0,985,1852,
CATES H,Gwinnett,3924,116,380,177,0,673,303,942,498,2,1745,2418,
GARNERS D,Gwinnett,3490,89,261,174,0,524,240,922,621,0,1783,2307,
BERKSHIRE H,Gwinnett,1987,99,172,145,2,418,147,343,250,1,741,1159,
PINCKNEYVILLE O,Gwinnett,3359,94,234,101,0,429,297,788,353,3,1441,1870,
CATES J,Gwinnett,3478,230,426,271,1,928,194,809,552,2,1557,2485,
ROCKBRIDGE C,Gwinnett,5125,130,308,167,0,605,289,1739,1011,5,3044,3649,
ROCKBRIDGE D,Gwinnett,3642,71,374,194,1,640,201,1149,620,4,1974,2614,
CATES L,Gwinnett,4185,220,596,313,0,1129,266,949,574,4,1793,2922,
ROCKBRIDGE E,Gwinnett,4638,139,327,143,1,610,387,1152,744,2,2285,2895,
BERKSHIRE J,Gwinnett,2731,160,569,271,0,1000,115,560,432,2,1109,2109,
ROCKBRIDGE F,Gwinnett,5795,75,423,202,1,701,310,2137,873,5,3325,4026,
BAYCREEK E,Gwinnett,3265,183,429,175,1,788,221,742,434,4,1401,2189,
BERKSHIRE N,Gwinnett,3128,112,732,327,0,1171,88,637,516,0,1241,2412,
PINCKNEYVILLE V,Gwinnett,1706,104,193,86,0,383,116,334,221,2,673,1056,
GARNERS F,Gwinnett,1796,107,323,147,1,578,106,362,259,2,729,1307,
ROCKBRIDGE G,Gwinnett,5799,131,377,192,2,702,388,1855,931,10,3184,3886,
PINCKNEYVILLE Y,Gwinnett,3272,93,172,94,0,359,350,635,339,1,1325,1684,
BERKSHIRE Q,Gwinnett,1802,155,296,142,1,594,107,296,249,1,653,1247,
BAYCREEK J,Gwinnett,4567,189,498,218,0,905,312,1288,661,4,2265,3170,
