Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
HARBINS A,Gwinnett,7182,359,1524,488,2,2373,327,1554,854,6,2741,39,57,34,1,131,5245,
ROCKBRIDGE A,Gwinnett,3987,96,264,159,1,520,261,1277,626,0,2164,12,34,25,0,71,2755,
DACULA,Gwinnett,4777,241,914,236,1,1392,243,1086,602,1,1932,20,49,13,0,82,3406,
SUWANEE A,Gwinnett,1737,118,297,133,0,548,96,364,192,1,653,6,27,18,0,51,1252,
BAYCREEK A,Gwinnett,2720,247,546,307,0,1100,127,500,364,0,991,14,18,12,0,44,2135,
GOODWINS A,Gwinnett,3921,292,559,223,1,1075,265,783,542,1,1591,20,27,26,0,73,2739,
DULUTH A,Gwinnett,5042,238,876,433,1,1548,215,1035,939,1,2190,12,44,42,0,98,3836,
DUNCANS A,Gwinnett,4729,356,1538,479,1,2374,129,735,481,0,1345,13,35,20,1,69,3788,
PUCKETTS A,Gwinnett,5692,288,1962,642,1,2893,161,823,483,0,1467,30,53,32,0,115,4475,
CATES A,Gwinnett,2387,170,470,310,0,950,107,343,274,1,725,15,28,15,0,58,1733,
BERKSHIRE A,Gwinnett,2555,169,238,117,0,524,259,427,316,2,1004,21,14,6,0,41,1569,
BERKSHIRE B,Gwinnett,5338,127,521,316,3,967,293,1389,870,5,2557,15,41,14,0,70,3594,
DUNCANS C,Gwinnett,3040,331,1011,296,1,1639,83,428,279,0,790,15,29,13,0,57,2486,
GARNERS A,Gwinnett,3520,203,775,409,1,1388,135,703,471,1,1310,12,39,16,1,68,2766,
