Precinct,County,Registered Voters,T. Wright Barksdale (Rep)_Election Day Votes,T. Wright Barksdale (Rep)_Advanced Voting Votes,T. Wright Barksdale (Rep)_Absentee by Mail Votes,T. Wright Barksdale (Rep)_Provisional Votes,T. Wright Barksdale (Rep)_Choice Total,Total,
Devereux Fire Station,Hancock,1006,128,290,130,0,548,548,
St Mark,Hancock,576,62,104,33,0,199,199,
Courthouse,Hancock,931,73,186,79,1,339,339,
Second Beulah,Hancock,472,42,71,58,0,171,171,
Mayfield Community Center,Hancock,356,40,37,41,0,118,118,
Power of God,Hancock,731,66,116,71,1,254,254,
Warren Chapel,Hancock,268,29,80,49,0,158,158,
Youth Center,Hancock,975,74,159,100,0,333,333,
Second Darrien,Hancock,364,62,50,54,0,166,166,
Sparta 4C,Hancock,148,23,18,33,0,74,74,
