Precinct,County,Registered Voters,"Tomyln """"Terrell"""" Primus (I) (Dem)_Election Day Votes","Tomyln """"Terrell"""" Primus (I) (Dem)_Advanced Voting Votes","Tomyln """"Terrell"""" Primus (I) (Dem)_Absentee by Mail Votes","Tomyln """"Terrell"""" Primus (I) (Dem)_Provisional Votes","Tomyln """"Terrell"""" Primus (I) (Dem)_Choice Total",Total,
Devereux Fire Station,Hancock,1006,112,271,188,0,571,571,
St Mark,Hancock,576,79,135,73,0,287,287,
Courthouse,Hancock,931,91,228,156,1,476,476,
Second Beulah,Hancock,472,63,122,120,0,305,305,
Mayfield Community Center,Hancock,356,59,45,83,0,187,187,
Power of God,Hancock,731,87,157,117,0,361,361,
Warren Chapel,Hancock,268,25,69,60,0,154,154,
Youth Center,Hancock,975,95,214,192,0,501,501,
Second Darrien,Hancock,364,72,63,100,0,235,235,
Sparta 4C,Hancock,148,21,23,51,0,95,95,
