Precinct,County,Registered Voters,David A. Perdue (I) (Rep)_Election Day Votes,David A. Perdue (I) (Rep)_Advanced Voting Votes,David A. Perdue (I) (Rep)_Absentee by Mail Votes,David A. Perdue (I) (Rep)_Provisional Votes,David A. Perdue (I) (Rep)_Choice Total,Jon Ossoff (Dem)_Election Day Votes,Jon Ossoff (Dem)_Advanced Voting Votes,Jon Ossoff (Dem)_Absentee by Mail Votes,Jon Ossoff (Dem)_Provisional Votes,Jon Ossoff (Dem)_Choice Total,Shane Hazel (Lib)_Election Day Votes,Shane Hazel (Lib)_Advanced Voting Votes,Shane Hazel (Lib)_Absentee by Mail Votes,Shane Hazel (Lib)_Provisional Votes,Shane Hazel (Lib)_Choice Total,Total,
Bremen,Haralson,6622,947,2225,559,0,3731,146,318,262,0,726,40,51,31,0,122,4579,
Buchanan,Haralson,2365,387,808,205,1,1401,34,81,64,0,179,13,22,5,0,40,1620,
Buncombe,Haralson,1075,287,245,89,0,621,21,23,15,0,59,10,7,5,0,22,702,
Corinth,Haralson,1682,382,499,139,0,1020,31,50,22,0,103,9,9,6,0,24,1147,
Twentieth,Haralson,738,217,186,64,0,467,13,13,24,0,50,4,9,6,0,19,536,
Felton,Haralson,304,110,76,18,0,204,5,1,7,0,13,1,1,1,0,3,220,
Little Creek,Haralson,699,261,167,61,0,489,15,8,15,0,38,4,0,0,0,4,531,
Mt View,Haralson,330,132,67,26,0,225,10,5,2,0,17,2,2,0,0,4,246,
Seventh,Haralson,1932,373,567,142,2,1084,27,76,63,0,166,15,6,4,0,25,1275,
Berea-Steadman,Haralson,665,214,151,51,0,416,9,25,10,0,44,5,4,2,0,11,471,
Tallapoosa,Haralson,3072,565,822,283,1,1671,67,116,104,0,287,17,24,7,0,48,2006,
Waco,Haralson,1183,320,294,73,0,687,29,24,29,0,82,3,7,4,0,14,783,
