Precinct,County,Registered Voters,H. Cullen Talton (I) (Rep)_Election Day Votes,H. Cullen Talton (I) (Rep)_Advanced Voting Votes,H. Cullen Talton (I) (Rep)_Absentee by Mail Votes,H. Cullen Talton (I) (Rep)_Provisional Votes,H. Cullen Talton (I) (Rep)_Choice Total,Total,
ANNX,Houston,4512,581,1454,815,4,2854,2854,
BMS,Houston,9536,1559,3131,1511,2,6203,6203,
CENT,Houston,7795,1197,2041,1078,1,4317,4317,
CGTC,Houston,4860,629,1652,620,4,2905,2905,
FMMS,Houston,8767,1392,2580,1026,2,5000,5000,
HAFS,Houston,1805,681,387,158,1,1227,1227,
HCTC,Houston,6361,799,1425,803,4,3031,3031,
HEFS,Houston,1372,408,301,144,8,861,861,
HHPC,Houston,9610,1068,2101,1277,5,4451,4451,
MCMS,Houston,9181,1338,3076,1185,8,5607,5607,
NSES,Houston,2441,466,607,357,1,1431,1431,
RECR,Houston,9277,879,1223,879,7,2988,2988,
ROZR,Houston,13802,1900,4489,1770,8,8167,8167,
TMS,Houston,5286,719,1146,664,5,2534,2534,
TWPK,Houston,4415,774,1213,635,2,2624,2624,
VHS,Houston,6295,1123,2177,687,4,3991,3991,
