Precinct,County,Registered Voters,Pam Dixon (I) (Rep)_Election Day Votes,Pam Dixon (I) (Rep)_Advanced Voting Votes,Pam Dixon (I) (Rep)_Absentee by Mail Votes,Pam Dixon (I) (Rep)_Provisional Votes,Pam Dixon (I) (Rep)_Choice Total,Total,
Gray,Jones,0,271,1258,299,0,1828,1828,
Hawkins,Jones,0,364,815,334,0,1513,1513,
Ethridge,Jones,0,220,626,190,0,1036,1036,
Clinton,Jones,0,319,949,243,2,1513,1513,
Roberts,Jones,0,518,718,266,1,1503,1503,
Davidson,Jones,0,370,526,135,0,1031,1031,
Pope,Jones,0,357,598,158,1,1114,1114,
Barron,Jones,0,300,420,123,0,843,843,
Sanders,Jones,0,94,15,15,0,124,124,
Finney,Jones,0,621,831,273,1,1726,1726,
