Precinct,County,Registered Voters,YES_Election Day Votes,YES_Advanced Voting Votes,YES_Absentee by Mail Votes,YES_Provisional Votes,YES_Choice Total,NO_Election Day Votes,NO_Advanced Voting Votes,NO_Absentee by Mail Votes,NO_Provisional Votes,NO_Choice Total,Total,
Chokee,Lee,475,85,86,53,0,224,28,34,32,0,94,318,
Redbone,Lee,4841,660,1645,355,2,2662,163,427,104,1,695,3357,
Smithville,Lee,998,150,243,77,0,470,54,84,18,0,156,626,
CJC,Lee,614,111,235,35,0,381,26,58,7,0,91,472,
Leesburg,Lee,3313,399,1099,209,1,1708,95,284,58,0,437,2145,
Friendship Baptist,Lee,1376,196,517,82,0,795,52,91,20,0,163,958,
First Baptist,Lee,3921,523,1513,432,1,2469,106,349,65,0,520,2989,
SDA Church,Lee,1576,259,584,141,0,984,60,103,29,0,192,1176,
Flint Reformed Baptist,Lee,2621,355,883,181,0,1419,60,204,28,0,292,1711,
Century Fire Station,Lee,3162,352,1106,285,1,1744,84,290,68,0,442,2186,
