Precinct,County,Registered Voters,Hill Mackey (I) (Rep)_Election Day Votes,Hill Mackey (I) (Rep)_Advanced Voting Votes,Hill Mackey (I) (Rep)_Absentee by Mail Votes,Hill Mackey (I) (Rep)_Provisional Votes,Hill Mackey (I) (Rep)_Choice Total,Total,
Chokee,Lee,475,102,99,47,0,248,248,
Redbone,Lee,4841,796,1970,394,2,3162,3162,
Smithville,Lee,998,168,302,69,0,539,539,
CJC,Lee,614,127,290,39,0,456,456,
Leesburg,Lee,3313,472,1276,230,1,1979,1979,
Friendship Baptist,Lee,1376,244,572,88,0,904,904,
First Baptist,Lee,3921,608,1699,407,1,2715,2715,
SDA Church,Lee,1576,314,638,137,0,1089,1089,
Flint Reformed Baptist,Lee,2621,392,1034,177,0,1603,1603,
Century Fire Station,Lee,3162,422,1293,290,1,2006,2006,
