Precinct,County,Registered Voters,Beth Copeland Greene (I) (Rep)_Election Day Votes,Beth Copeland Greene (I) (Rep)_Advanced Voting Votes,Beth Copeland Greene (I) (Rep)_Absentee by Mail Votes,Beth Copeland Greene (I) (Rep)_Provisional Votes,Beth Copeland Greene (I) (Rep)_Choice Total,Total,
Hahira Train Depot,Lowndes,5526,957,2099,387,9,3452,3452,
Trinity,Lowndes,10900,923,3308,927,30,5188,5188,
Northside,Lowndes,17467,1088,5727,1643,63,8521,8521,
Naylor,Lowndes,1291,261,416,79,1,757,757,
Rainwater,Lowndes,9877,782,3575,890,41,5288,5288,
Mildred,Lowndes,4283,253,619,279,10,1161,1161,
Clyattville,Lowndes,4755,700,1375,368,14,2457,2457,
Dasher,Lowndes,4255,666,1601,327,18,2612,2612,
S Lowndes,Lowndes,3967,780,1296,324,15,2415,2415,
VSU UC # 2,Lowndes,318,43,42,9,1,95,95,
Jaycee Shack,Lowndes,6273,336,1265,474,22,2097,2097,
Northgate Assembly,Lowndes,1997,124,469,107,18,718,718,
Mt Calvary,Lowndes,4447,173,541,180,37,931,931,
