Precinct,County,Registered Voters,Lamar Dalton (I) (Rep)_Election Day Votes,Lamar Dalton (I) (Rep)_Advanced Voting Votes,Lamar Dalton (I) (Rep)_Absentee by Mail Votes,Lamar Dalton (I) (Rep)_Provisional Votes,Lamar Dalton (I) (Rep)_Choice Total,Total,
Colbert,Madison,3342,552,1144,338,1,2035,2035,
Collins,Madison,647,196,180,55,0,431,431,
Comer,Madison,1441,294,432,136,0,862,862,
Danielsville,Madison,3003,322,1282,342,0,1946,1946,
Fork,Madison,566,186,104,44,0,334,334,
Harrison,Madison,610,245,157,57,0,459,459,
Hull,Madison,4376,683,1306,514,0,2503,2503,
Ila,Madison,1746,329,563,206,0,1098,1098,
Mill,Madison,1646,347,615,177,1,1140,1140,
Paoli,Madison,267,107,67,27,0,201,201,
Pittman,Madison,1949,411,616,258,0,1285,1285,
Poca,Madison,1127,301,333,122,0,756,756,
