Precinct,County,Registered Voters,"Lauren Bubba McDonald, Jr. (I) (Rep)_Election Day Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Advanced Voting Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Absentee by Mail Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Provisional Votes","Lauren Bubba McDonald, Jr. (I) (Rep)_Choice Total",Daniel Blackman (Dem)_Election Day Votes,Daniel Blackman (Dem)_Advanced Voting Votes,Daniel Blackman (Dem)_Absentee by Mail Votes,Daniel Blackman (Dem)_Provisional Votes,Daniel Blackman (Dem)_Choice Total,Nathan Wilson (Lib)_Election Day Votes,Nathan Wilson (Lib)_Advanced Voting Votes,Nathan Wilson (Lib)_Absentee by Mail Votes,Nathan Wilson (Lib)_Provisional Votes,Nathan Wilson (Lib)_Choice Total,Total,
Baconton,Mitchell,1129,146,200,37,0,383,100,120,106,0,326,6,5,1,0,12,721,
Branchville,Mitchell,599,164,178,26,0,368,11,36,27,0,74,4,3,0,0,7,449,
Camilla North,Mitchell,1996,44,181,31,0,256,188,378,365,0,931,1,7,3,0,11,1198,
Camilla South,Mitchell,3475,114,847,221,1,1183,156,535,396,2,1089,8,24,9,0,41,2313,
Cotton,Mitchell,399,176,71,36,0,283,12,5,6,0,23,2,0,0,0,2,308,
Hopeful,Mitchell,350,90,84,24,2,200,11,12,13,0,36,0,2,1,0,3,239,
Hinsonton,Mitchell,134,78,17,4,0,99,1,4,5,0,10,0,0,0,0,0,109,
Lester,Mitchell,1357,262,306,89,0,657,33,49,84,1,167,10,4,2,0,16,840,
Pebble City,Mitchell,162,65,25,16,0,106,6,7,2,0,15,0,0,0,0,0,121,
Pelham,Mitchell,3489,210,654,172,0,1036,237,382,392,1,1012,10,18,9,0,37,2085,
Sale City,Mitchell,384,136,47,25,0,208,21,19,15,0,55,2,2,0,0,4,267,
