Precinct,County,Registered Voters,Lori D. Andrews (I) (Rep)_Election Day Votes,Lori D. Andrews (I) (Rep)_Advanced Voting Votes,Lori D. Andrews (I) (Rep)_Absentee by Mail Votes,Lori D. Andrews (I) (Rep)_Provisional Votes,Lori D. Andrews (I) (Rep)_Choice Total,Total,
Bentons,Monroe,2297,366,1043,245,1,1655,1655,
Brantleys,Monroe,1123,232,560,70,0,862,862,
Burgays,Monroe,2268,451,1014,229,4,1698,1698,
Cabaniss,Monroe,800,214,236,47,1,498,498,
Cox,Monroe,718,163,299,49,0,511,511,
Culloden,Monroe,454,141,94,44,1,280,280,
Dillards,Monroe,996,167,411,58,0,636,636,
Evers,Monroe,2127,309,985,164,0,1458,1458,
Forsyth,Monroe,4640,333,1569,446,0,2348,2348,
High Falls,Monroe,1994,368,659,146,1,1174,1174,
Kelseys,Monroe,722,148,219,71,0,438,438,
Middlebrooks,Monroe,1319,227,594,89,0,910,910,
Proctors,Monroe,1214,262,368,78,0,708,708,
Russellville,Monroe,466,149,135,22,0,306,306,
