Precinct,County,Registered Voters,Buddy Bryan (I) (Dem)_Election Day Votes,Buddy Bryan (I) (Dem)_Advanced Voting Votes,Buddy Bryan (I) (Dem)_Absentee by Mail Votes,Buddy Bryan (I) (Dem)_Provisional Votes,Buddy Bryan (I) (Dem)_Choice Total,Total,
Wynnton/Britt,Muscogee,5289,419,1388,846,0,2653,2653,
Carver/Mack,Muscogee,4374,265,1163,843,0,2271,2271,
St John/Belvedere,Muscogee,5341,298,1759,1171,1,3229,3229,
Britt David,Muscogee,2747,355,736,340,0,1431,1431,
St Peter,Muscogee,3265,382,919,479,1,1781,1781,
Cornerstone,Muscogee,6684,684,1930,901,1,3516,3516,
Columbus Tech,Muscogee,4464,410,851,449,0,1710,1710,
St Mark/Heiferhorn,Muscogee,6492,551,2223,1031,8,3813,3813,
Wynnbrook,Muscogee,2692,236,873,543,0,1652,1652,
Cusseta Rd,Muscogee,6169,566,1247,867,3,2683,2683,
Our Lady of Lourdes,Muscogee,10204,736,1858,1385,3,3982,3982,
Mt Pilgrim,Muscogee,6022,464,1916,1176,1,3557,3557,
Faith Tabernacle,Muscogee,4461,382,1455,869,0,2706,2706,
Canaan,Muscogee,7078,490,1975,1204,0,3669,3669,
Holsey/Buena Vista,Muscogee,7613,510,2379,1317,0,4206,4206,
Gentian/Reese,Muscogee,5612,529,1567,810,0,2906,2906,
St Paul/Clubview,Muscogee,5677,482,1883,889,0,3254,3254,
Moon/Morningside,Muscogee,5415,576,1523,818,1,2918,2918,
St Andrews/Midland,Muscogee,7959,771,2473,1298,0,4542,4542,
Salvation Army,Muscogee,3192,344,937,457,0,1738,1738,
First African,Muscogee,1955,135,362,280,4,781,781,
Epworth UMC,Muscogee,4512,453,981,553,0,1987,1987,
Marianna Gallops,Muscogee,3095,262,623,359,5,1249,1249,
Edgewood Baptist,Muscogee,3235,280,954,496,3,1733,1733,
Psalmond/Mathews,Muscogee,7331,505,2659,1332,1,4497,4497,
