Precinct,County,Registered Voters,Reginald Thompson (Dem)_Election Day Votes,Reginald Thompson (Dem)_Advanced Voting Votes,Reginald Thompson (Dem)_Absentee by Mail Votes,Reginald Thompson (Dem)_Provisional Votes,Reginald Thompson (Dem)_Choice Total,Total,
Wynnton/Britt,Muscogee,5289,401,1346,837,0,2584,2584,
Carver/Mack,Muscogee,4374,265,1156,838,0,2259,2259,
St John/Belvedere,Muscogee,5341,294,1749,1165,2,3210,3210,
Britt David,Muscogee,2747,328,680,325,0,1333,1333,
St Peter,Muscogee,3265,362,851,452,1,1666,1666,
Cornerstone,Muscogee,6684,632,1814,871,1,3318,3318,
Columbus Tech,Muscogee,4464,387,793,421,0,1601,1601,
St Mark/Heiferhorn,Muscogee,6492,489,2034,969,8,3500,3500,
Wynnbrook,Muscogee,2692,214,786,518,0,1518,1518,
Cusseta Rd,Muscogee,6169,556,1231,853,3,2643,2643,
Our Lady of Lourdes,Muscogee,10204,721,1836,1384,3,3944,3944,
Mt Pilgrim,Muscogee,6022,459,1907,1171,1,3538,3538,
Faith Tabernacle,Muscogee,4461,377,1437,859,0,2673,2673,
Canaan,Muscogee,7078,486,1938,1173,0,3597,3597,
Holsey/Buena Vista,Muscogee,7613,505,2356,1312,0,4173,4173,
Gentian/Reese,Muscogee,5612,491,1477,783,0,2751,2751,
St Paul/Clubview,Muscogee,5677,454,1725,839,0,3018,3018,
Moon/Morningside,Muscogee,5415,528,1398,765,1,2692,2692,
St Andrews/Midland,Muscogee,7959,730,2322,1262,0,4314,4314,
Salvation Army,Muscogee,3192,323,881,447,0,1651,1651,
First African,Muscogee,1955,135,346,274,4,759,759,
Epworth UMC,Muscogee,4512,413,909,523,0,1845,1845,
Marianna Gallops,Muscogee,3095,252,592,358,5,1207,1207,
Edgewood Baptist,Muscogee,3235,270,923,497,4,1694,1694,
Psalmond/Mathews,Muscogee,7331,458,2499,1271,1,4229,4229,
