Precinct,County,Registered Voters,Steven Smith (I) (Dem)_Election Day Votes,Steven Smith (I) (Dem)_Advanced Voting Votes,Steven Smith (I) (Dem)_Absentee by Mail Votes,Steven Smith (I) (Dem)_Provisional Votes,Steven Smith (I) (Dem)_Choice Total,Total,
Wynnton/Britt,Muscogee,5289,410,1361,829,0,2600,2600,
Carver/Mack,Muscogee,4374,268,1155,829,0,2252,2252,
St John/Belvedere,Muscogee,5341,297,1742,1157,2,3198,3198,
Britt David,Muscogee,2747,334,691,331,0,1356,1356,
St Peter,Muscogee,3265,362,879,458,1,1700,1700,
Cornerstone,Muscogee,6684,632,1855,880,1,3368,3368,
Columbus Tech,Muscogee,4464,391,808,421,0,1620,1620,
St Mark/Heiferhorn,Muscogee,6492,504,2101,987,9,3601,3601,
Wynnbrook,Muscogee,2692,221,831,531,0,1583,1583,
Cusseta Rd,Muscogee,6169,555,1230,850,3,2638,2638,
Our Lady of Lourdes,Muscogee,10204,726,1837,1367,3,3933,3933,
Mt Pilgrim,Muscogee,6022,462,1904,1169,1,3536,3536,
Faith Tabernacle,Muscogee,4461,375,1439,855,0,2669,2669,
Canaan,Muscogee,7078,486,1937,1180,0,3603,3603,
Holsey/Buena Vista,Muscogee,7613,508,2357,1305,0,4170,4170,
Gentian/Reese,Muscogee,5612,499,1510,806,0,2815,2815,
St Paul/Clubview,Muscogee,5677,464,1769,875,0,3108,3108,
Moon/Morningside,Muscogee,5415,538,1426,778,1,2743,2743,
St Andrews/Midland,Muscogee,7959,747,2354,1262,0,4363,4363,
Salvation Army,Muscogee,3192,327,893,446,0,1666,1666,
First African,Muscogee,1955,133,353,272,4,762,762,
Epworth UMC,Muscogee,4512,420,919,525,0,1864,1864,
Marianna Gallops,Muscogee,3095,253,594,364,5,1216,1216,
Edgewood Baptist,Muscogee,3235,272,934,499,3,1708,1708,
Psalmond/Mathews,Muscogee,7331,469,2548,1285,1,4303,4303,
