Precinct,County,Registered Voters,William L. Consoletti (I)_Election Day Votes,William L. Consoletti (I)_Advanced Voting Votes,William L. Consoletti (I)_Absentee by Mail Votes,William L. Consoletti (I)_Provisional Votes,William L. Consoletti (I)_Choice Total,Total,
Wynnton/Britt,Muscogee,5289,375,1272,721,0,2368,2368,
Carver/Mack,Muscogee,4374,242,992,720,0,1954,1954,
St John/Belvedere,Muscogee,5341,271,1536,1003,2,2812,2812,
Britt David,Muscogee,2747,342,683,300,0,1325,1325,
St Peter,Muscogee,3265,392,867,428,1,1688,1688,
Cornerstone,Muscogee,6684,673,1880,841,0,3394,3394,
Columbus Tech,Muscogee,4464,398,810,391,0,1599,1599,
St Mark/Heiferhorn,Muscogee,6492,554,2171,929,9,3663,3663,
Wynnbrook,Muscogee,2692,237,858,510,0,1605,1605,
Cusseta Rd,Muscogee,6169,486,1054,721,2,2263,2263,
Our Lady of Lourdes,Muscogee,10204,688,1624,1217,3,3532,3532,
Mt Pilgrim,Muscogee,6022,411,1683,1023,0,3117,3117,
Faith Tabernacle,Muscogee,4461,349,1268,742,0,2359,2359,
Canaan,Muscogee,7078,455,1787,1047,0,3289,3289,
Holsey/Buena Vista,Muscogee,7613,463,2163,1171,0,3797,3797,
Gentian/Reese,Muscogee,5612,519,1460,726,0,2705,2705,
St Paul/Clubview,Muscogee,5677,496,1794,822,0,3112,3112,
Moon/Morningside,Muscogee,5415,553,1410,734,1,2698,2698,
St Andrews/Midland,Muscogee,7959,781,2348,1186,0,4315,4315,
Salvation Army,Muscogee,3192,332,868,406,0,1606,1606,
First African,Muscogee,1955,131,330,249,4,714,714,
Epworth UMC,Muscogee,4512,438,936,485,0,1859,1859,
Marianna Gallops,Muscogee,3095,247,553,326,4,1130,1130,
Edgewood Baptist,Muscogee,3235,282,846,446,4,1578,1578,
Psalmond/Mathews,Muscogee,7331,486,2551,1206,1,4244,4244,
