Precinct,County,Registered Voters,Carolyn Hugley (I) (Dem)_Election Day Votes,Carolyn Hugley (I) (Dem)_Advanced Voting Votes,Carolyn Hugley (I) (Dem)_Absentee by Mail Votes,Carolyn Hugley (I) (Dem)_Provisional Votes,Carolyn Hugley (I) (Dem)_Choice Total,Total,
St John/Belvedere,Muscogee,5341,298,1747,1166,2,3213,3213,
Cusseta Rd,Muscogee,6169,244,733,513,0,1490,1490,
Our Lady of Lourdes,Muscogee,10204,331,993,784,2,2110,2110,
Mt Pilgrim,Muscogee,6022,462,1909,1187,1,3559,3559,
Canaan,Muscogee,7078,275,963,495,0,1733,1733,
Holsey/Buena Vista,Muscogee,7613,94,401,228,0,723,723,
Gentian/Reese,Muscogee,5612,240,788,464,0,1492,1492,
St Andrews/Midland,Muscogee,7959,316,1009,563,0,1888,1888,
Salvation Army,Muscogee,3192,309,876,445,0,1630,1630,
Edgewood Baptist,Muscogee,3235,261,909,498,3,1671,1671,
